Date,City,AQI,PM2_5,PM10,CO,NO2,SO2
2024-02-23,Mumbai,25,14.1,15.2,0.16,8.6,0.7
2024-02-24,Mumbai,75,32.7,49.0,0.53,22.1,4.9
2024-02-25,Mumbai,101,48.8,82.0,0.7,29.2,5.8
2024-02-26,Mumbai,65,30.9,40.1,0.43,19.5,4.1
2024-02-27,Mumbai,55,22.1,45.0,0.47,15.6,2.7
2024-02-28,Mumbai,12,7.9,15.6,0.1,2.9,0.6
2024-02-29,Mumbai,94,40.6,56.0,0.81,29.9,5.3
2024-03-01,Mumbai,80,35.6,59.1,0.69,22.5,4.4
2024-03-02,Mumbai,91,43.5,71.2,0.78,23.5,6.4
2024-03-03,Mumbai,77,36.8,48.2,0.58,24.7,5.0
2024-03-04,Mumbai,100,43.4,75.5,0.83,30.5,5.8
2024-03-05,Mumbai,80,36.5,57.7,0.57,23.0,4.7
2024-03-06,Mumbai,102,43.2,78.9,0.75,26.9,6.0
2024-03-07,Mumbai,116,54.6,92.4,1.0,39.7,7.0
2024-03-08,Mumbai,106,50.7,84.5,0.94,28.8,6.1
2024-03-09,Mumbai,105,46.7,80.3,0.92,28.4,6.1
2024-03-10,Mumbai,98,43.4,63.9,0.75,28.8,6.6
2024-03-11,Mumbai,95,39.3,71.4,0.66,25.7,4.8
2024-03-12,Mumbai,107,45.8,88.5,0.91,28.7,5.9
2024-03-13,Mumbai,99,44.2,76.0,0.75,29.2,6.1
2024-03-14,Mumbai,77,32.5,56.8,0.58,21.7,4.7
2024-03-15,Mumbai,100,50.3,74.3,0.85,28.5,5.9
2024-03-16,Mumbai,94,42.1,71.9,0.7,23.4,6.0
2024-03-17,Mumbai,112,52.6,84.8,0.93,32.8,7.1
2024-03-18,Mumbai,94,39.0,68.6,0.75,25.8,4.7
2024-03-19,Mumbai,119,52.7,90.1,1.01,28.6,6.9
2024-03-20,Mumbai,90,39.5,66.6,0.79,26.5,5.9
2024-03-21,Mumbai,108,44.4,70.6,0.79,31.0,6.5
2024-03-22,Mumbai,63,27.2,57.3,0.46,19.5,3.8
2024-03-23,Mumbai,93,45.4,77.1,0.73,27.6,5.8
2024-03-24,Mumbai,82,37.5,58.1,0.64,21.8,5.4
2024-03-25,Mumbai,108,44.7,77.4,0.7,29.3,6.5
2024-03-26,Mumbai,102,51.8,79.4,0.84,25.3,5.9
2024-03-27,Mumbai,97,41.3,68.8,0.69,24.6,6.3
2024-03-28,Mumbai,84,36.3,63.0,0.73,23.5,5.3
2024-03-29,Mumbai,93,40.0,71.5,0.84,28.9,5.9
2024-03-30,Mumbai,102,50.1,80.5,0.7,26.5,6.3
2024-03-31,Mumbai,74,30.6,52.0,0.58,20.1,4.3
2024-04-01,Mumbai,12,4.6,7.1,0.1,5.4,0.4
2024-04-02,Mumbai,104,47.4,74.2,0.81,29.6,6.1
2024-04-03,Mumbai,114,51.1,88.6,0.81,30.2,6.3
2024-04-04,Mumbai,88,40.8,71.2,0.72,24.2,5.0
2024-04-05,Mumbai,116,58.4,87.7,0.97,33.2,7.3
2024-04-06,Mumbai,97,42.2,74.7,0.84,25.5,4.8
2024-04-07,Mumbai,100,48.0,67.1,0.74,28.3,5.9
2024-04-08,Mumbai,107,44.5,78.6,0.92,27.6,7.2
2024-04-09,Mumbai,88,42.1,64.1,0.65,23.6,5.6
2024-04-10,Mumbai,97,47.0,79.9,0.72,24.6,5.2
2024-04-11,Mumbai,106,51.0,82.3,0.82,29.7,7.1
2024-04-12,Mumbai,86,39.5,51.2,0.7,25.9,5.3
2024-04-13,Mumbai,112,51.5,77.8,0.85,30.7,7.3
2024-04-14,Mumbai,100,46.4,76.5,0.88,27.9,5.1
2024-04-15,Mumbai,115,58.2,89.8,0.88,30.0,6.4
2024-04-16,Mumbai,130,57.5,94.2,1.03,35.8,8.6
2024-04-17,Mumbai,86,42.2,65.1,0.75,27.2,5.2
2024-04-18,Mumbai,108,48.8,80.5,0.78,33.3,6.6
2024-04-19,Mumbai,97,37.4,61.1,0.81,25.9,5.6
2024-04-20,Mumbai,105,45.7,81.5,0.84,29.2,5.5
2024-04-21,Mumbai,112,52.2,80.6,0.96,36.1,7.0
2024-04-22,Mumbai,57,27.8,40.1,0.47,20.0,3.2
2024-04-23,Mumbai,90,37.1,66.4,0.67,28.5,5.5
2024-04-24,Mumbai,115,50.9,80.5,0.85,30.4,7.1
2024-04-25,Mumbai,104,48.6,70.6,0.83,27.1,6.4
2024-04-26,Mumbai,109,45.5,86.6,0.99,32.2,6.5
2024-04-27,Mumbai,109,48.4,77.9,0.88,28.2,5.6
2024-04-28,Mumbai,121,54.5,87.9,0.9,34.5,6.8
2024-04-29,Mumbai,107,53.4,83.5,0.79,27.4,6.5
2024-04-30,Mumbai,104,40.8,80.7,0.85,30.0,6.4
2024-05-01,Mumbai,108,46.6,83.6,0.94,29.2,6.0
2024-05-02,Mumbai,38,14.5,29.5,0.2,11.5,2.6
2024-05-03,Mumbai,58,23.2,43.9,0.46,17.3,3.4
2024-05-04,Mumbai,114,50.3,80.6,0.86,33.4,6.9
2024-05-05,Mumbai,111,51.8,73.2,0.83,29.0,6.3
2024-05-06,Mumbai,69,34.0,57.7,0.54,18.8,3.8
2024-05-07,Mumbai,60,27.6,49.0,0.52,12.2,3.5
2024-05-08,Mumbai,124,54.5,98.7,0.98,35.1,6.9
2024-05-09,Mumbai,97,45.8,77.2,0.78,24.7,5.8
2024-05-10,Mumbai,12,10.6,7.4,0.1,5.0,0.6
2024-05-11,Mumbai,115,52.6,81.8,0.92,34.8,6.8
2024-05-12,Mumbai,100,40.2,71.1,0.78,29.6,5.4
2024-05-13,Mumbai,90,36.5,79.2,0.81,25.5,4.6
2024-05-14,Mumbai,83,36.2,55.9,0.68,21.6,4.6
2024-05-15,Mumbai,115,50.0,96.6,0.89,33.1,7.0
2024-05-16,Mumbai,118,54.4,92.9,0.96,33.5,7.1
2024-05-17,Mumbai,109,46.3,81.4,0.88,31.3,6.6
2024-05-18,Mumbai,71,31.8,50.5,0.58,19.4,4.4
2024-05-19,Mumbai,114,49.2,88.5,0.91,36.0,6.7
2024-05-20,Mumbai,72,32.4,47.1,0.55,21.9,4.1
2024-05-21,Mumbai,88,39.5,60.5,0.71,27.7,5.7
2024-05-22,Mumbai,128,55.9,95.3,0.97,34.5,7.2
2024-05-23,Mumbai,32,18.5,13.5,0.32,11.5,2.2
2024-05-24,Mumbai,63,23.6,44.5,0.54,17.6,3.3
2024-05-25,Mumbai,65,34.3,47.6,0.53,15.2,3.7
2024-05-26,Mumbai,117,53.7,85.2,0.92,31.9,6.9
2024-05-27,Mumbai,115,45.8,85.9,0.94,31.1,6.7
2024-05-28,Mumbai,112,49.0,84.0,0.9,27.2,7.0
2024-05-29,Mumbai,51,28.7,32.3,0.36,13.9,3.3
2024-05-30,Mumbai,87,36.7,68.2,0.65,27.1,5.0
2024-05-31,Mumbai,103,48.2,85.3,0.84,31.4,7.0
2024-06-01,Mumbai,66,32.5,41.9,0.55,18.3,4.6
2024-06-02,Mumbai,55,26.5,42.7,0.47,15.5,3.3
2024-06-03,Mumbai,12,10.1,8.3,0.11,3.5,0.1
2024-06-04,Mumbai,103,51.1,73.5,0.93,31.2,6.4
2024-06-05,Mumbai,124,53.0,91.7,1.06,33.5,8.0
2024-06-06,Mumbai,106,44.1,89.0,0.85,28.6,7.0
2024-06-07,Mumbai,124,58.6,90.2,0.98,35.3,7.8
2024-06-08,Mumbai,109,49.6,83.1,0.94,32.0,5.8
2024-06-09,Mumbai,80,33.2,62.8,0.69,22.6,4.7
2024-06-10,Mumbai,117,53.3,84.5,0.88,28.7,7.7
2024-06-11,Mumbai,112,51.5,90.3,0.83,27.9,6.9
2024-06-12,Mumbai,99,39.4,76.0,0.77,26.1,5.8
2024-06-13,Mumbai,87,37.4,61.7,0.72,24.0,5.5
2024-06-14,Mumbai,82,34.4,64.3,0.64,24.7,4.0
2024-06-15,Mumbai,80,34.1,56.3,0.69,24.7,5.3
2024-06-16,Mumbai,134,64.1,96.5,1.08,36.8,9.1
2024-06-17,Mumbai,130,57.9,101.9,0.98,36.9,7.3
2024-06-18,Mumbai,90,42.9,72.0,0.74,24.8,4.8
2024-06-19,Mumbai,72,29.5,52.8,0.63,22.3,3.5
2024-06-20,Mumbai,114,49.1,72.8,0.94,31.4,6.8
2024-06-21,Mumbai,125,56.5,91.6,1.03,37.1,7.6
2024-06-22,Mumbai,121,54.0,90.3,0.97,32.4,7.0
2024-06-23,Mumbai,129,64.1,104.7,0.97,33.3,7.1
2024-06-24,Mumbai,64,20.4,45.1,0.58,19.9,3.6
2024-06-25,Mumbai,106,49.4,84.2,0.82,29.2,6.1
2024-06-26,Mumbai,12,4.7,7.5,0.1,4.7,1.0
2024-06-27,Mumbai,94,40.0,60.6,0.78,25.0,5.2
2024-06-28,Mumbai,106,46.9,87.4,0.82,27.5,6.7
2024-06-29,Mumbai,110,43.1,85.8,0.99,25.6,6.0
2024-06-30,Mumbai,69,30.8,56.7,0.56,22.1,4.6
2024-07-01,Mumbai,128,61.1,94.0,1.03,34.1,7.6
2024-07-02,Mumbai,115,51.5,93.0,0.9,30.3,6.5
2024-07-03,Mumbai,121,50.2,89.7,1.03,34.5,7.2
2024-07-04,Mumbai,114,48.2,81.2,0.9,32.5,7.3
2024-07-05,Mumbai,105,51.3,86.8,0.88,31.8,5.8
2024-07-06,Mumbai,104,48.4,71.3,0.82,30.7,6.9
2024-07-07,Mumbai,98,42.2,75.1,0.73,27.1,5.9
2024-07-08,Mumbai,69,31.3,47.6,0.52,17.8,3.3
2024-07-09,Mumbai,112,53.1,88.0,0.88,29.7,7.1
2024-07-10,Mumbai,108,49.3,89.7,0.86,29.7,6.3
2024-07-11,Mumbai,88,41.6,65.5,0.73,28.3,5.1
2024-07-12,Mumbai,100,46.4,75.8,0.76,28.8,6.4
2024-07-13,Mumbai,90,39.6,74.9,0.68,25.3,4.1
2024-07-14,Mumbai,107,48.6,86.4,0.79,30.1,6.2
2024-07-15,Mumbai,85,34.6,65.9,0.65,24.2,5.1
2024-07-16,Mumbai,114,52.7,85.7,0.91,31.2,6.9
2024-07-17,Mumbai,117,49.7,86.0,0.88,32.7,6.7
2024-07-18,Mumbai,120,56.0,85.4,0.96,34.9,7.1
2024-07-19,Mumbai,51,19.7,42.5,0.45,13.9,3.4
2024-07-20,Mumbai,87,43.1,64.5,0.7,23.7,5.9
2024-07-21,Mumbai,71,36.4,55.2,0.6,19.2,3.6
2024-07-22,Mumbai,118,54.0,95.3,0.93,32.2,7.8
2024-07-23,Mumbai,123,55.4,88.5,1.02,33.9,7.7
2024-07-24,Mumbai,48,26.3,32.5,0.41,12.5,2.7
2024-07-25,Mumbai,62,30.1,51.1,0.52,17.1,3.8
2024-07-26,Mumbai,129,60.8,83.3,1.02,35.7,8.1
2024-07-27,Mumbai,92,43.6,63.6,0.75,27.6,4.8
2024-07-28,Mumbai,129,61.6,96.8,0.99,35.8,7.8
2024-07-29,Mumbai,114,55.8,83.1,0.94,29.3,6.6
2024-07-30,Mumbai,122,57.0,87.7,0.95,37.1,7.9
2024-07-31,Mumbai,110,42.8,95.1,0.88,30.2,6.3
2024-08-01,Mumbai,90,41.7,72.3,0.67,24.6,6.4
2024-08-02,Mumbai,52,22.9,34.3,0.44,16.6,3.6
2024-08-03,Mumbai,103,47.4,85.6,0.88,27.3,4.9
2024-08-04,Mumbai,60,29.4,39.6,0.48,16.3,3.7
2024-08-05,Mumbai,91,44.8,69.0,0.68,27.3,4.8
2024-08-06,Mumbai,132,62.4,105.9,1.05,36.0,8.0
2024-08-07,Mumbai,88,37.6,63.2,0.69,22.3,5.6
2024-08-08,Mumbai,110,48.6,76.9,0.82,34.7,6.3
2024-08-09,Mumbai,120,54.5,76.1,1.05,35.0,6.8
2024-08-10,Mumbai,111,46.5,92.4,0.84,30.0,6.3
2024-08-11,Mumbai,55,28.9,50.2,0.42,16.2,3.3
2024-08-12,Mumbai,61,34.7,52.6,0.5,20.2,4.3
2024-08-13,Mumbai,114,52.3,93.1,0.86,35.3,6.7
2024-08-14,Mumbai,132,59.4,100.7,1.05,35.9,7.8
2024-08-15,Mumbai,113,43.9,78.6,0.87,29.5,7.5
2024-08-16,Mumbai,46,22.5,31.3,0.43,9.7,3.8
2024-08-17,Mumbai,107,47.4,78.1,0.8,33.8,6.8
2024-08-18,Mumbai,124,52.1,93.9,1.02,35.3,6.9
2024-08-19,Mumbai,71,32.3,48.5,0.48,21.1,5.5
2024-08-20,Mumbai,112,50.9,89.6,0.83,30.4,6.3
2024-08-21,Mumbai,108,52.6,81.8,0.82,29.4,6.2
2024-08-22,Mumbai,101,45.1,78.6,0.83,28.3,6.1
2024-08-23,Mumbai,39,13.7,30.1,0.28,8.2,2.5
2024-08-24,Mumbai,104,47.5,82.2,0.78,29.3,5.3
2024-08-25,Mumbai,125,52.2,91.2,1.07,34.5,6.9
2024-08-26,Mumbai,123,57.4,89.1,0.96,33.6,7.3
2024-08-27,Mumbai,99,44.0,83.2,0.75,26.6,5.3
2024-08-28,Mumbai,110,53.1,88.4,0.82,31.8,7.3
2024-08-29,Mumbai,114,52.7,83.1,0.92,34.4,7.0
2024-08-30,Mumbai,93,40.5,75.8,0.76,26.3,5.3
2024-08-31,Mumbai,116,57.2,93.3,1.0,31.8,6.7
2024-09-01,Mumbai,73,33.0,61.9,0.64,21.5,3.7
2024-09-02,Mumbai,97,44.4,77.2,0.77,31.0,5.3
2024-09-03,Mumbai,92,39.4,65.5,0.76,24.9,4.7
2024-09-04,Mumbai,114,46.0,80.1,0.83,32.3,6.9
2024-09-05,Mumbai,134,63.0,107.7,1.09,35.6,8.1
2024-09-06,Mumbai,120,56.1,87.6,0.98,31.7,6.7
2024-09-07,Mumbai,85,38.3,57.9,0.66,25.6,4.6
2024-09-08,Mumbai,94,42.5,71.7,0.73,27.9,5.9
2024-09-09,Mumbai,113,50.6,82.2,0.87,32.3,6.6
2024-09-10,Mumbai,91,39.6,64.8,0.74,22.7,5.6
2024-09-11,Mumbai,116,50.5,96.6,0.93,29.4,6.8
2024-09-12,Mumbai,68,31.9,49.7,0.49,16.9,3.8
2024-09-13,Mumbai,101,42.0,72.1,0.84,31.6,6.4
2024-09-14,Mumbai,122,57.8,95.7,0.96,34.4,7.1
2024-09-15,Mumbai,99,44.8,77.8,0.81,27.4,6.0
2024-09-16,Mumbai,104,48.8,70.4,0.78,31.3,6.2
2024-09-17,Mumbai,106,46.9,78.2,0.88,27.5,6.4
2024-09-18,Mumbai,113,52.0,85.9,0.93,30.5,6.3
2024-09-19,Mumbai,133,58.9,98.8,1.1,40.4,7.7
2024-09-20,Mumbai,30,9.8,30.5,0.19,8.3,1.3
2024-09-21,Mumbai,84,36.9,58.3,0.64,27.5,5.3
2024-09-22,Mumbai,112,52.9,83.5,0.87,31.9,6.8
2024-09-23,Mumbai,59,26.9,40.7,0.46,15.8,2.9
2024-09-24,Mumbai,86,35.9,73.5,0.67,25.6,4.1
2024-09-25,Mumbai,96,39.1,71.0,0.89,27.8,6.6
2024-09-26,Mumbai,77,38.7,68.1,0.61,20.5,4.0
2024-09-27,Mumbai,102,46.1,86.7,0.75,28.7,5.2
2024-09-28,Mumbai,107,49.1,82.8,0.89,30.8,6.7
2024-09-29,Mumbai,43,16.2,23.0,0.32,11.8,3.2
2024-09-30,Mumbai,33,14.3,26.7,0.25,10.9,3.0
2024-10-01,Mumbai,126,57.0,96.2,1.09,35.0,7.9
2024-10-02,Mumbai,95,41.8,77.0,0.72,26.3,4.9
2024-10-03,Mumbai,116,56.0,87.9,0.95,33.3,7.7
2024-10-04,Mumbai,99,46.7,79.6,0.85,23.2,5.6
2024-10-05,Mumbai,97,44.1,62.7,0.67,31.5,6.1
2024-10-06,Mumbai,95,43.8,72.0,0.81,25.3,5.8
2024-10-07,Mumbai,107,45.0,86.6,0.83,32.0,6.5
2024-10-08,Mumbai,107,45.0,74.8,0.81,30.2,7.2
2024-10-09,Mumbai,126,49.8,95.7,0.85,36.9,8.1
2024-10-10,Mumbai,102,46.2,76.9,0.78,29.4,6.0
2024-10-11,Mumbai,114,51.0,81.2,0.84,28.2,7.5
2024-10-12,Mumbai,101,46.5,84.7,0.78,27.0,6.0
2024-10-13,Mumbai,102,51.6,84.3,0.85,31.5,6.0
2024-10-14,Mumbai,12,4.5,2.5,0.16,4.4,0.7
2024-10-15,Mumbai,97,39.1,67.9,0.79,26.1,5.7
2024-10-16,Mumbai,81,34.4,55.9,0.57,22.4,5.2
2024-10-17,Mumbai,41,18.4,32.2,0.28,14.3,2.3
2024-10-18,Mumbai,93,41.4,60.9,0.79,24.1,5.5
2024-10-19,Mumbai,113,55.2,79.4,0.88,34.4,7.0
2024-10-20,Mumbai,109,45.9,79.9,0.86,28.8,5.7
2024-10-21,Mumbai,98,48.2,73.8,0.85,27.8,5.5
2024-10-22,Mumbai,119,54.2,94.1,0.9,35.4,7.7
2024-10-23,Mumbai,80,33.6,59.8,0.67,22.9,5.1
2024-10-24,Mumbai,106,45.8,73.7,0.85,29.0,6.8
2024-10-25,Mumbai,94,45.4,77.3,0.75,26.4,5.3
2024-10-26,Mumbai,91,39.7,75.5,0.72,22.8,5.6
2024-10-27,Mumbai,104,46.7,85.3,0.87,27.0,6.0
2024-10-28,Mumbai,109,44.1,83.4,0.78,32.6,7.0
2024-10-29,Mumbai,105,45.2,79.6,0.81,27.3,6.1
2024-10-30,Mumbai,93,42.0,77.0,0.78,27.4,4.8
2024-10-31,Mumbai,98,40.9,72.6,0.75,26.7,6.4
2024-11-01,Mumbai,41,21.5,22.7,0.33,13.4,3.2
2024-11-02,Mumbai,101,44.4,80.9,0.8,26.5,5.3
2024-11-03,Mumbai,90,35.4,67.8,0.76,22.7,5.5
2024-11-04,Mumbai,109,49.0,73.7,0.89,30.4,6.5
2024-11-05,Mumbai,102,46.2,79.0,0.94,28.8,6.9
2024-11-06,Mumbai,105,47.0,79.5,0.78,30.0,5.3
2024-11-07,Mumbai,94,42.6,76.5,0.82,25.8,5.7
2024-11-08,Mumbai,103,42.4,79.3,0.78,28.5,6.0
2024-11-09,Mumbai,78,36.8,63.0,0.64,22.2,5.6
2024-11-10,Mumbai,58,31.2,42.1,0.49,15.6,3.1
2024-11-11,Mumbai,111,53.1,85.6,0.86,38.3,7.3
2024-11-12,Mumbai,105,46.2,75.6,0.83,31.6,5.8
2024-11-13,Mumbai,85,39.9,65.3,0.64,21.6,5.8
2024-11-14,Mumbai,77,30.6,51.3,0.6,23.0,4.9
2024-11-15,Mumbai,109,44.6,82.9,0.94,33.2,6.7
2024-11-16,Mumbai,25,13.1,24.0,0.2,5.4,1.1
2024-11-17,Mumbai,56,24.6,33.2,0.4,15.0,3.7
2024-11-18,Mumbai,99,44.3,69.3,0.79,30.4,6.0
2024-11-19,Mumbai,52,19.6,41.9,0.4,14.4,2.8
2024-11-20,Mumbai,104,45.9,77.1,0.79,31.0,6.1
2024-11-21,Mumbai,104,43.2,86.7,0.9,25.3,5.8
2024-11-22,Mumbai,109,45.1,81.1,0.89,30.2,6.8
2024-11-23,Mumbai,99,37.8,79.2,0.84,32.7,4.8
2024-11-24,Mumbai,74,27.4,64.3,0.62,18.8,4.8
2024-11-25,Mumbai,98,45.0,74.5,0.87,31.1,5.6
2024-11-26,Mumbai,109,50.1,74.7,0.84,35.2,6.7
2024-11-27,Mumbai,107,47.5,77.6,0.86,29.4,5.7
2024-11-28,Mumbai,90,42.6,65.6,0.72,25.7,5.6
2024-11-29,Mumbai,111,46.7,86.1,0.93,33.1,6.0
2024-11-30,Mumbai,109,54.2,81.3,0.9,32.1,6.0
2024-12-01,Mumbai,118,54.6,91.1,0.86,34.6,7.3
2024-12-02,Mumbai,78,34.2,53.6,0.59,20.8,4.1
2024-12-03,Mumbai,109,53.0,80.8,0.85,26.9,6.9
2024-12-04,Mumbai,58,24.2,42.9,0.49,19.7,3.6
2024-12-05,Mumbai,14,6.8,3.4,0.1,2.3,1.3
2024-12-06,Mumbai,96,41.6,69.3,0.76,30.3,5.7
2024-12-07,Mumbai,82,37.0,70.3,0.63,20.6,4.7
2024-12-08,Mumbai,99,46.6,79.3,0.74,25.8,5.8
2024-12-09,Mumbai,101,41.7,72.7,0.78,30.2,6.3
2024-12-10,Mumbai,81,40.5,59.2,0.59,20.3,3.9
2024-12-11,Mumbai,94,41.1,74.4,0.75,25.3,5.6
2024-12-12,Mumbai,85,41.3,59.8,0.62,25.4,5.4
2024-12-13,Mumbai,49,24.6,33.0,0.37,14.1,3.2
2024-12-14,Mumbai,78,35.0,56.4,0.64,21.6,5.6
2024-12-15,Mumbai,106,44.9,77.1,0.85,32.3,7.1
2024-12-16,Mumbai,81,33.6,55.4,0.66,27.3,5.1
2024-12-17,Mumbai,81,34.3,57.6,0.61,21.9,5.0
2024-12-18,Mumbai,110,52.8,85.1,0.78,28.7,6.5
2024-12-19,Mumbai,95,45.3,71.5,0.76,27.1,5.6
2024-12-20,Mumbai,81,39.8,60.3,0.65,22.6,5.5
2024-12-21,Mumbai,87,44.5,59.4,0.66,25.8,5.7
2024-12-22,Mumbai,83,34.1,63.6,0.78,25.7,4.9
2024-12-23,Mumbai,80,36.2,61.8,0.62,20.7,4.9
2024-12-24,Mumbai,87,44.8,72.8,0.73,24.5,4.9
2024-12-25,Mumbai,95,47.7,75.6,0.77,28.4,6.0
2024-12-26,Mumbai,90,43.4,70.1,0.76,25.5,5.3
2024-12-27,Mumbai,72,30.4,46.0,0.53,18.3,4.1
2024-12-28,Mumbai,83,36.9,63.5,0.68,26.4,4.7
2024-12-29,Mumbai,100,44.7,80.7,0.87,28.9,6.6
2024-12-30,Mumbai,76,33.7,62.9,0.63,19.8,5.1
2024-12-31,Mumbai,68,29.6,55.5,0.54,19.8,4.4
2025-01-01,Mumbai,73,34.0,61.5,0.54,21.3,4.0
2025-01-02,Mumbai,73,35.9,53.0,0.69,22.7,4.7
2025-01-03,Mumbai,74,36.3,50.5,0.6,21.5,4.2
2025-01-04,Mumbai,68,34.3,48.9,0.54,17.4,3.2
2025-01-05,Mumbai,70,31.4,52.7,0.51,19.2,4.7
2025-01-06,Mumbai,72,32.5,55.0,0.51,21.4,3.7
2025-01-07,Mumbai,79,32.4,58.4,0.61,22.1,4.3
2025-01-08,Mumbai,105,49.8,77.9,0.82,28.2,6.1
2025-01-09,Mumbai,32,11.5,28.3,0.27,12.2,1.8
2025-01-10,Mumbai,49,20.8,35.2,0.36,14.3,3.0
2025-01-11,Mumbai,95,46.5,80.7,0.82,27.7,6.1
2025-01-12,Mumbai,84,40.1,60.1,0.69,24.8,4.5
2025-01-13,Mumbai,71,35.3,44.1,0.51,19.5,4.4
2025-01-14,Mumbai,40,17.6,35.8,0.32,13.1,2.1
2025-01-15,Mumbai,80,38.5,61.8,0.58,20.8,5.6
2025-01-16,Mumbai,90,43.3,65.1,0.72,25.8,4.3
2025-01-17,Mumbai,72,32.7,50.4,0.63,16.9,4.6
2025-01-18,Mumbai,90,39.4,62.2,0.82,22.5,5.3
2025-01-19,Mumbai,12,10.2,11.0,0.1,6.3,0.8
2025-01-20,Mumbai,72,32.8,56.8,0.55,19.7,4.7
2025-01-21,Mumbai,61,27.1,38.7,0.56,15.8,4.2
2025-01-22,Mumbai,69,27.2,58.0,0.56,22.0,4.0
2025-01-23,Mumbai,107,42.9,77.7,0.79,29.2,6.7
2025-01-24,Mumbai,99,47.1,70.0,0.84,30.3,6.4
2025-01-25,Mumbai,70,25.1,55.4,0.55,17.6,3.9
2025-01-26,Mumbai,95,39.3,73.6,0.77,25.9,6.0
2025-01-27,Mumbai,110,48.6,81.3,0.91,32.6,6.5
2025-01-28,Mumbai,72,25.7,50.1,0.52,21.5,4.2
2025-01-29,Mumbai,102,45.9,72.1,0.89,31.2,6.9
2025-01-30,Mumbai,81,36.4,68.8,0.61,20.9,4.6
2025-01-31,Mumbai,12,3.1,8.2,0.1,4.3,0.1
2025-02-01,Mumbai,89,43.7,72.7,0.73,25.5,5.1
