Date,City,Water_Usage,Water_Loss,Reservoir_Level,Daily_Supply,Water_Quality
2024-03-10,Mumbai,982.9,17.5,20.0,1155.4,70.7
2024-03-11,Mumbai,1041.7,21.3,20.0,1263.7,69.3
2024-03-12,Mumbai,994.8,18.6,20.0,1179.6,71.4
2024-03-13,Mumbai,972.0,18.7,20.0,1153.5,71.0
2024-03-14,Mumbai,912.9,18.1,20.0,1078.3,71.5
2024-03-15,Mumbai,962.6,20.8,20.0,1163.2,71.3
2024-03-16,Mumbai,984.8,18.2,20.0,1164.1,71.4
2024-03-17,Mumbai,1004.6,20.1,20.0,1206.8,70.3
2024-03-18,Mumbai,956.9,18.1,20.0,1130.5,71.0
2024-03-19,Mumbai,952.2,18.8,20.0,1131.1,69.4
2024-03-20,Mumbai,978.3,18.2,20.0,1156.1,69.2
2024-03-21,Mumbai,960.4,16.6,20.0,1119.8,68.9
2024-03-22,Mumbai,889.2,18.7,20.0,1055.4,70.3
2024-03-23,Mumbai,921.7,16.4,20.0,1073.2,70.2
2024-03-24,Mumbai,1024.3,17.3,26.2,1201.6,68.7
2024-03-25,Mumbai,919.1,18.7,20.0,1091.0,69.7
2024-03-26,Mumbai,942.7,19.9,20.0,1130.6,71.6
2024-03-27,Mumbai,963.5,16.8,20.0,1125.5,68.1
2024-03-28,Mumbai,946.6,20.1,21.7,1136.8,69.0
2024-03-29,Mumbai,996.8,16.3,20.0,1159.8,70.1
2024-03-30,Mumbai,941.3,18.0,20.0,1111.2,70.0
2024-03-31,Mumbai,993.8,18.8,24.2,1180.6,69.3
2024-04-01,Mumbai,964.6,18.2,100.0,1140.2,61.0
2024-04-02,Mumbai,997.5,21.4,89.9,1211.2,68.8
2024-04-03,Mumbai,987.5,19.6,81.5,1181.2,68.9
2024-04-04,Mumbai,957.1,17.2,75.8,1122.0,67.7
2024-04-05,Mumbai,996.7,19.5,65.9,1191.3,70.1
2024-04-06,Mumbai,927.6,17.2,56.7,1087.0,68.5
2024-04-07,Mumbai,1030.8,17.7,46.3,1213.1,69.7
2024-04-08,Mumbai,983.6,19.2,36.3,1172.8,69.4
2024-04-09,Mumbai,1028.2,18.0,32.1,1213.3,70.8
2024-04-10,Mumbai,1032.8,16.8,27.3,1205.8,69.5
2024-04-11,Mumbai,1034.9,16.6,20.0,1206.7,69.1
2024-04-12,Mumbai,1013.4,17.5,28.8,1191.1,67.5
2024-04-13,Mumbai,1004.0,15.3,20.0,1157.2,71.2
2024-04-14,Mumbai,967.0,16.3,20.0,1124.5,69.0
2024-04-15,Mumbai,990.5,17.0,20.0,1158.9,70.5
2024-04-16,Mumbai,1006.8,17.1,20.0,1178.6,70.7
2024-04-17,Mumbai,1049.5,17.7,22.5,1235.2,68.1
2024-04-18,Mumbai,982.7,19.1,20.0,1170.9,70.1
2024-04-19,Mumbai,991.7,18.3,20.0,1173.2,71.3
2024-04-20,Mumbai,1002.7,19.4,20.0,1197.3,69.7
2024-04-21,Mumbai,987.0,17.3,20.0,1158.1,71.3
2024-04-22,Mumbai,942.2,19.9,53.2,1129.9,67.2
2024-04-23,Mumbai,949.8,19.9,43.5,1138.4,70.9
2024-04-24,Mumbai,970.5,15.7,33.8,1123.0,69.3
2024-04-25,Mumbai,980.0,18.4,23.9,1160.7,68.1
2024-04-26,Mumbai,1009.6,16.8,20.0,1179.5,68.0
2024-04-27,Mumbai,970.7,17.6,20.0,1141.7,70.4
2024-04-28,Mumbai,1035.1,17.7,20.0,1218.1,71.1
2024-04-29,Mumbai,986.2,19.2,20.0,1175.3,69.6
2024-04-30,Mumbai,1045.8,17.1,20.0,1225.0,69.0
2024-05-01,Mumbai,987.9,17.8,20.0,1164.1,70.4
2024-05-02,Mumbai,1024.9,17.8,62.8,1207.4,66.2
2024-05-03,Mumbai,1007.0,16.8,81.7,1176.5,68.6
2024-05-04,Mumbai,1003.1,16.0,71.6,1164.0,69.4
2024-05-05,Mumbai,1005.6,16.3,61.6,1169.7,69.1
2024-05-06,Mumbai,1094.6,15.7,82.6,1266.7,67.4
2024-05-07,Mumbai,1092.6,18.4,100.0,1293.9,69.1
2024-05-08,Mumbai,985.9,19.4,90.1,1177.7,69.4
2024-05-09,Mumbai,1002.9,18.8,79.9,1191.2,67.6
2024-05-10,Mumbai,1003.4,18.6,100.0,1190.1,61.2
2024-05-11,Mumbai,969.5,17.7,90.4,1141.2,69.1
2024-05-12,Mumbai,987.9,17.9,80.5,1164.7,70.6
2024-05-13,Mumbai,987.5,18.3,96.5,1168.1,67.1
2024-05-14,Mumbai,1088.1,19.1,100.0,1295.8,67.7
2024-05-15,Mumbai,1038.1,19.8,89.8,1243.2,70.6
2024-05-16,Mumbai,1046.0,18.0,79.2,1234.0,68.9
2024-05-17,Mumbai,994.8,14.8,71.8,1142.2,69.8
2024-05-18,Mumbai,1015.0,18.8,86.2,1205.6,68.7
2024-05-19,Mumbai,1055.5,16.8,75.5,1233.1,70.5
2024-05-20,Mumbai,963.0,18.1,98.4,1137.7,69.0
2024-05-21,Mumbai,921.9,19.5,89.2,1102.0,71.0
2024-05-22,Mumbai,1010.8,17.7,79.0,1189.4,68.9
2024-05-23,Mumbai,1009.8,18.4,100.0,1195.3,66.0
2024-05-24,Mumbai,962.4,18.3,100.0,1138.9,67.2
2024-05-25,Mumbai,969.6,17.4,100.0,1138.6,66.6
2024-05-26,Mumbai,1029.1,18.7,89.6,1222.1,70.8
2024-05-27,Mumbai,1073.4,17.7,79.0,1262.9,71.7
2024-05-28,Mumbai,1043.6,19.0,68.8,1241.7,69.8
2024-05-29,Mumbai,974.2,16.6,95.9,1135.7,65.7
2024-05-30,Mumbai,976.4,17.5,86.2,1146.8,69.7
2024-05-31,Mumbai,1016.7,17.9,75.9,1198.6,69.6
2024-06-01,Mumbai,993.8,18.5,92.8,1177.3,68.1
2024-06-02,Mumbai,947.9,18.8,100.0,1125.8,65.6
2024-06-03,Mumbai,992.6,16.6,100.0,1157.3,60.0
2024-06-04,Mumbai,983.3,19.4,90.4,1173.8,70.5
2024-06-05,Mumbai,1017.2,16.8,80.4,1188.2,70.8
2024-06-06,Mumbai,1018.2,19.3,70.2,1215.0,71.4
2024-06-07,Mumbai,1065.8,18.5,59.4,1262.6,70.5
2024-06-08,Mumbai,1029.6,19.6,49.0,1231.8,71.3
2024-06-09,Mumbai,985.4,16.8,64.2,1151.2,66.3
2024-06-10,Mumbai,1011.7,17.4,54.1,1188.2,69.8
2024-06-11,Mumbai,1008.8,17.4,44.0,1183.9,70.6
2024-06-12,Mumbai,1019.0,19.7,47.9,1219.3,70.2
2024-06-13,Mumbai,1031.9,19.0,46.0,1228.5,70.8
2024-06-14,Mumbai,989.4,17.4,47.0,1162.0,67.7
2024-06-15,Mumbai,1036.0,17.2,58.3,1214.6,66.6
2024-06-16,Mumbai,1056.2,17.3,47.7,1239.2,68.8
2024-06-17,Mumbai,1116.9,19.8,36.6,1337.6,70.2
2024-06-18,Mumbai,1026.4,19.7,26.2,1228.4,67.3
2024-06-19,Mumbai,1090.8,15.1,39.9,1255.8,68.2
2024-06-20,Mumbai,1052.4,17.8,29.5,1239.5,69.9
2024-06-21,Mumbai,1011.8,18.4,20.0,1197.8,71.4
2024-06-22,Mumbai,984.7,17.0,20.0,1152.2,70.1
2024-06-23,Mumbai,1035.2,20.4,20.0,1246.2,68.2
2024-06-24,Mumbai,1049.8,18.4,53.9,1243.2,67.0
2024-06-25,Mumbai,997.0,16.5,43.9,1161.1,67.9
2024-06-26,Mumbai,1045.6,18.0,100.0,1233.5,64.5
2024-06-27,Mumbai,1009.2,17.7,100.0,1187.8,67.9
2024-06-28,Mumbai,1074.2,17.4,89.3,1260.7,70.3
2024-06-29,Mumbai,1041.3,20.5,80.3,1254.7,69.7
2024-06-30,Mumbai,1013.7,18.3,85.3,1199.4,66.7
2024-07-01,Mumbai,1119.2,17.0,74.9,1309.4,70.4
2024-07-02,Mumbai,1005.0,18.9,64.8,1194.9,69.2
2024-07-03,Mumbai,1005.0,19.1,54.9,1197.1,70.8
2024-07-04,Mumbai,1023.6,19.5,44.8,1223.3,68.6
2024-07-05,Mumbai,992.3,15.9,34.8,1150.5,71.2
2024-07-06,Mumbai,1019.8,17.7,24.5,1200.3,68.9
2024-07-07,Mumbai,1059.7,18.4,22.7,1254.3,69.8
2024-07-08,Mumbai,1063.6,17.6,48.7,1250.8,66.9
2024-07-09,Mumbai,983.1,17.4,44.8,1154.4,69.6
2024-07-10,Mumbai,1025.5,18.4,34.6,1214.0,69.0
2024-07-11,Mumbai,1022.4,17.6,33.6,1202.7,67.7
2024-07-12,Mumbai,1117.0,17.9,22.3,1317.3,70.3
2024-07-13,Mumbai,1011.4,20.3,26.8,1216.4,68.9
2024-07-14,Mumbai,997.6,19.0,20.0,1186.8,68.4
2024-07-15,Mumbai,982.5,15.0,34.6,1129.4,68.9
2024-07-16,Mumbai,1029.9,18.2,24.2,1216.8,69.7
2024-07-17,Mumbai,1021.6,17.7,20.0,1202.8,69.8
2024-07-18,Mumbai,982.4,18.1,20.0,1159.9,69.3
2024-07-19,Mumbai,1080.5,16.7,46.6,1260.9,66.7
2024-07-20,Mumbai,1022.6,19.2,36.2,1218.5,71.6
2024-07-21,Mumbai,1050.5,16.9,48.0,1227.8,68.7
2024-07-22,Mumbai,1001.3,17.3,38.0,1174.8,70.2
2024-07-23,Mumbai,959.6,16.7,28.3,1119.7,69.1
2024-07-24,Mumbai,1037.8,17.5,66.8,1219.4,67.1
2024-07-25,Mumbai,1006.2,17.7,91.5,1184.5,66.0
2024-07-26,Mumbai,1034.6,17.0,81.1,1210.6,71.5
2024-07-27,Mumbai,1021.4,18.4,88.8,1209.0,69.3
2024-07-28,Mumbai,1026.6,19.2,78.5,1223.9,70.2
2024-07-29,Mumbai,959.2,18.4,68.8,1136.0,70.4
2024-07-30,Mumbai,1042.4,18.3,58.2,1233.5,70.9
2024-07-31,Mumbai,1025.7,19.0,55.6,1220.7,69.7
2024-08-01,Mumbai,1032.2,17.1,58.1,1208.9,68.3
2024-08-02,Mumbai,1044.9,17.4,93.1,1226.8,66.8
2024-08-03,Mumbai,1044.5,18.1,93.8,1233.5,69.0
2024-08-04,Mumbai,1072.2,16.3,100.0,1247.0,64.7
2024-08-05,Mumbai,1032.7,18.0,100.0,1218.3,70.1
2024-08-06,Mumbai,1037.7,17.4,89.6,1218.6,71.2
2024-08-07,Mumbai,1059.0,19.5,100.0,1265.3,68.5
2024-08-08,Mumbai,1002.4,18.7,90.1,1190.2,71.0
2024-08-09,Mumbai,1037.9,18.3,79.7,1227.4,69.6
2024-08-10,Mumbai,1019.9,18.2,72.5,1205.1,69.7
2024-08-11,Mumbai,1012.2,18.4,100.0,1198.8,67.0
2024-08-12,Mumbai,1022.4,17.5,100.0,1201.7,68.3
2024-08-13,Mumbai,1009.2,15.6,89.7,1166.4,68.6
2024-08-14,Mumbai,989.8,16.6,79.6,1153.8,71.3
2024-08-15,Mumbai,921.8,19.7,70.5,1103.2,70.2
2024-08-16,Mumbai,1047.5,17.8,100.0,1234.0,66.9
2024-08-17,Mumbai,1043.4,18.3,89.5,1234.8,68.0
2024-08-18,Mumbai,1023.4,16.8,79.3,1195.2,69.5
2024-08-19,Mumbai,1016.5,19.8,100.0,1218.2,67.5
2024-08-20,Mumbai,1020.6,17.9,89.8,1202.8,71.1
2024-08-21,Mumbai,1018.4,18.7,79.7,1208.5,70.1
2024-08-22,Mumbai,1005.1,16.5,69.7,1170.7,70.1
2024-08-23,Mumbai,1048.9,18.2,100.0,1240.2,64.8
2024-08-24,Mumbai,1078.6,18.0,92.3,1272.8,68.4
2024-08-25,Mumbai,1037.0,18.7,81.9,1230.6,70.7
2024-08-26,Mumbai,1035.6,16.8,71.5,1210.0,70.1
2024-08-27,Mumbai,1005.1,18.5,61.3,1190.8,69.3
2024-08-28,Mumbai,1093.8,19.1,50.4,1302.5,71.2
2024-08-29,Mumbai,1036.8,20.6,40.1,1250.8,68.5
2024-08-30,Mumbai,1018.6,18.4,36.0,1205.9,69.5
2024-08-31,Mumbai,1046.0,19.8,25.6,1253.5,71.3
2024-09-01,Mumbai,1045.5,17.2,46.0,1225.3,67.2
2024-09-02,Mumbai,982.2,18.8,36.2,1166.5,68.3
2024-09-03,Mumbai,961.9,14.7,26.4,1103.6,67.8
2024-09-04,Mumbai,982.0,17.2,20.0,1150.5,70.9
2024-09-05,Mumbai,1064.8,15.4,20.0,1228.4,71.8
2024-09-06,Mumbai,1035.2,18.9,20.0,1231.3,69.6
2024-09-07,Mumbai,966.7,18.2,20.0,1142.6,68.2
2024-09-08,Mumbai,939.2,19.2,20.0,1119.1,70.4
2024-09-09,Mumbai,996.9,17.4,20.0,1170.4,69.6
2024-09-10,Mumbai,1033.4,17.8,20.0,1217.3,68.5
2024-09-11,Mumbai,1060.4,19.4,20.0,1266.6,70.7
2024-09-12,Mumbai,925.7,18.3,20.0,1095.4,69.5
2024-09-13,Mumbai,1009.8,17.7,20.0,1188.2,69.8
2024-09-14,Mumbai,1016.8,17.0,20.0,1189.6,70.6
2024-09-15,Mumbai,975.8,17.5,20.0,1146.1,70.1
2024-09-16,Mumbai,968.4,17.5,20.0,1137.6,69.6
2024-09-17,Mumbai,970.0,17.5,20.0,1139.8,70.4
2024-09-18,Mumbai,976.1,15.4,20.0,1126.3,73.1
2024-09-19,Mumbai,980.6,18.7,20.0,1163.6,70.3
2024-09-20,Mumbai,948.2,17.3,51.6,1112.6,65.9
2024-09-21,Mumbai,974.7,17.8,55.1,1148.0,71.1
2024-09-22,Mumbai,1082.9,16.4,44.1,1260.9,71.2
2024-09-23,Mumbai,992.7,15.9,67.4,1150.9,67.5
2024-09-24,Mumbai,974.4,16.3,57.5,1133.4,69.5
2024-09-25,Mumbai,1013.3,16.1,47.5,1176.3,69.1
2024-09-26,Mumbai,1085.4,17.0,59.7,1269.6,67.6
2024-09-27,Mumbai,1020.3,17.3,49.4,1197.1,70.6
2024-09-28,Mumbai,991.3,17.8,39.5,1167.9,71.2
2024-09-29,Mumbai,943.6,19.1,78.4,1124.3,66.6
2024-09-30,Mumbai,982.6,17.4,100.0,1153.1,64.8
2024-10-01,Mumbai,953.4,16.9,90.5,1114.4,72.3
2024-10-02,Mumbai,998.4,17.6,80.5,1174.1,69.7
2024-10-03,Mumbai,960.2,16.1,70.9,1114.8,70.6
2024-10-04,Mumbai,956.0,18.3,61.5,1131.3,69.9
2024-10-05,Mumbai,926.6,19.7,52.1,1108.9,69.4
2024-10-06,Mumbai,912.5,15.4,43.0,1053.2,69.5
2024-10-07,Mumbai,989.6,18.9,33.0,1177.0,70.4
2024-10-08,Mumbai,943.0,20.8,27.7,1139.2,70.1
2024-10-09,Mumbai,1016.7,17.9,20.0,1198.8,68.2
2024-10-10,Mumbai,991.6,17.4,20.0,1163.7,71.5
2024-10-11,Mumbai,986.7,16.8,20.0,1152.6,69.6
2024-10-12,Mumbai,982.0,19.7,20.0,1175.7,69.1
2024-10-13,Mumbai,981.8,19.0,20.0,1168.5,71.4
2024-10-14,Mumbai,989.2,17.5,81.4,1162.0,65.9
2024-10-15,Mumbai,1032.4,16.3,77.0,1201.2,69.8
2024-10-16,Mumbai,940.0,16.4,75.2,1094.1,69.4
2024-10-17,Mumbai,963.7,18.5,100.0,1142.1,68.4
2024-10-18,Mumbai,989.0,16.2,90.0,1149.6,68.6
2024-10-19,Mumbai,1051.2,17.6,79.5,1236.3,69.3
2024-10-20,Mumbai,1037.4,16.9,69.0,1213.0,70.6
2024-10-21,Mumbai,977.7,17.1,59.2,1144.9,70.5
2024-10-22,Mumbai,1030.4,18.3,48.8,1219.4,69.8
2024-10-23,Mumbai,964.7,18.4,59.7,1142.7,68.8
2024-10-24,Mumbai,986.0,17.3,55.2,1156.2,68.9
2024-10-25,Mumbai,956.2,19.1,45.6,1139.0,71.3
2024-10-26,Mumbai,957.7,17.3,36.0,1123.2,70.7
2024-10-27,Mumbai,947.6,19.0,26.6,1127.3,67.8
2024-10-28,Mumbai,1004.0,20.4,20.0,1208.8,71.4
2024-10-29,Mumbai,949.5,17.5,20.0,1115.4,70.4
2024-10-30,Mumbai,974.5,17.9,20.0,1149.0,68.9
2024-10-31,Mumbai,972.0,17.3,20.0,1140.4,70.8
2024-11-01,Mumbai,994.9,17.2,60.2,1166.1,65.2
2024-11-02,Mumbai,1064.9,17.4,52.5,1249.8,71.0
2024-11-03,Mumbai,1033.4,18.0,42.1,1218.9,70.6
2024-11-04,Mumbai,997.5,19.4,32.2,1191.4,72.1
2024-11-05,Mumbai,925.0,17.0,22.7,1082.6,70.1
2024-11-06,Mumbai,885.3,19.5,20.0,1057.6,69.3
2024-11-07,Mumbai,975.0,18.7,20.0,1157.2,70.3
2024-11-08,Mumbai,986.6,16.6,20.0,1150.7,69.5
2024-11-09,Mumbai,969.4,18.7,25.4,1151.1,68.5
2024-11-10,Mumbai,937.0,21.1,20.0,1134.6,68.9
2024-11-11,Mumbai,969.2,17.6,20.0,1139.8,69.3
2024-11-12,Mumbai,948.4,18.3,20.0,1121.8,71.0
2024-11-13,Mumbai,980.8,17.7,20.0,1154.4,68.2
2024-11-14,Mumbai,920.2,18.6,20.0,1091.4,71.0
2024-11-15,Mumbai,967.1,19.1,20.0,1151.7,70.9
2024-11-16,Mumbai,1026.5,20.0,81.6,1231.5,65.5
2024-11-17,Mumbai,942.9,19.7,100.0,1128.8,65.1
2024-11-18,Mumbai,948.4,17.7,90.3,1116.4,70.5
2024-11-19,Mumbai,940.7,20.0,100.0,1128.9,67.6
2024-11-20,Mumbai,998.1,18.5,90.1,1182.5,70.6
2024-11-21,Mumbai,933.2,19.0,80.8,1110.7,70.2
2024-11-22,Mumbai,1057.5,19.5,70.3,1264.0,70.2
2024-11-23,Mumbai,965.4,17.7,60.8,1135.8,68.3
2024-11-24,Mumbai,949.0,16.4,51.3,1105.1,71.2
2024-11-25,Mumbai,969.5,16.4,41.8,1128.6,70.8
2024-11-26,Mumbai,977.5,17.2,31.9,1145.8,70.6
2024-11-27,Mumbai,902.2,16.5,22.9,1050.8,70.8
2024-11-28,Mumbai,942.3,16.4,20.0,1097.1,70.3
2024-11-29,Mumbai,961.4,19.8,20.0,1151.7,68.7
2024-11-30,Mumbai,962.5,19.7,20.0,1152.3,70.0
2024-12-01,Mumbai,933.2,18.6,20.0,1106.5,70.1
2024-12-02,Mumbai,1013.9,18.1,34.7,1197.2,67.8
2024-12-03,Mumbai,971.6,18.4,24.9,1150.6,69.0
2024-12-04,Mumbai,901.7,19.1,37.6,1073.8,68.0
2024-12-05,Mumbai,910.1,18.2,67.9,1075.4,65.6
2024-12-06,Mumbai,978.5,18.8,58.0,1162.9,70.1
2024-12-07,Mumbai,939.0,18.7,48.6,1115.1,69.5
2024-12-08,Mumbai,976.7,19.0,38.7,1162.8,68.6
2024-12-09,Mumbai,936.6,17.4,29.5,1099.7,70.2
2024-12-10,Mumbai,930.7,17.3,20.1,1091.6,69.9
2024-12-11,Mumbai,964.4,18.7,20.0,1144.9,69.2
2024-12-12,Mumbai,909.6,17.5,20.0,1069.0,71.1
2024-12-13,Mumbai,968.4,17.2,33.1,1134.8,67.1
2024-12-14,Mumbai,931.0,16.9,23.7,1088.5,69.5
2024-12-15,Mumbai,955.5,16.5,20.0,1113.0,68.6
2024-12-16,Mumbai,1014.5,17.3,23.3,1189.8,68.5
2024-12-17,Mumbai,964.8,17.6,20.0,1134.4,68.7
2024-12-18,Mumbai,989.7,18.1,20.0,1168.9,69.1
2024-12-19,Mumbai,928.0,18.7,20.0,1101.2,68.8
2024-12-20,Mumbai,975.7,15.8,20.0,1130.0,70.1
2024-12-21,Mumbai,951.8,16.8,20.0,1111.7,69.0
2024-12-22,Mumbai,907.5,17.4,20.0,1065.1,71.8
2024-12-23,Mumbai,922.2,19.0,20.0,1097.8,69.0
2024-12-24,Mumbai,958.5,16.2,20.0,1113.6,70.7
2024-12-25,Mumbai,937.5,18.2,20.0,1108.4,68.8
2024-12-26,Mumbai,913.5,17.0,20.0,1069.2,68.9
2024-12-27,Mumbai,949.6,18.1,23.4,1121.0,70.4
2024-12-28,Mumbai,913.6,18.8,20.0,1085.2,71.5
2024-12-29,Mumbai,932.4,16.5,20.0,1086.6,70.1
2024-12-30,Mumbai,970.5,18.5,28.2,1149.7,67.8
2024-12-31,Mumbai,914.2,15.3,40.7,1054.1,68.8
2025-01-01,Mumbai,939.1,18.4,45.6,1111.7,68.2
2025-01-02,Mumbai,931.0,16.9,36.2,1088.2,69.7
2025-01-03,Mumbai,895.3,19.0,27.3,1065.4,71.1
2025-01-04,Mumbai,907.6,16.3,22.9,1055.6,69.9
2025-01-05,Mumbai,904.3,18.1,20.0,1067.6,69.8
2025-01-06,Mumbai,882.8,18.1,20.0,1042.5,69.0
2025-01-07,Mumbai,959.0,17.7,20.0,1128.6,70.0
2025-01-08,Mumbai,925.6,15.5,20.0,1069.0,69.5
2025-01-09,Mumbai,953.4,18.7,55.6,1131.7,66.1
2025-01-10,Mumbai,924.7,17.8,77.5,1089.1,69.3
2025-01-11,Mumbai,963.4,17.9,68.1,1135.8,68.4
2025-01-12,Mumbai,916.1,17.4,59.0,1075.1,69.2
2025-01-13,Mumbai,939.1,17.7,49.6,1105.3,70.4
2025-01-14,Mumbai,938.8,16.4,73.0,1092.7,65.6
2025-01-15,Mumbai,956.9,18.3,79.0,1132.3,68.8
2025-01-16,Mumbai,952.1,15.9,69.4,1103.8,68.8
2025-01-17,Mumbai,986.4,17.9,68.6,1163.5,68.3
2025-01-18,Mumbai,968.2,16.5,58.8,1128.2,69.3
2025-01-19,Mumbai,927.8,18.8,88.9,1102.1,66.7
2025-01-20,Mumbai,940.8,19.4,79.5,1123.3,68.4
2025-01-21,Mumbai,969.4,16.3,100.0,1127.0,66.7
2025-01-22,Mumbai,926.2,16.5,90.8,1078.9,69.0
2025-01-23,Mumbai,961.1,19.4,81.2,1147.7,70.9
2025-01-24,Mumbai,947.5,16.4,71.7,1102.7,70.0
2025-01-25,Mumbai,887.4,19.1,62.8,1057.2,69.7
2025-01-26,Mumbai,994.4,18.6,63.0,1179.1,68.6
2025-01-27,Mumbai,959.4,17.5,53.2,1127.6,70.7
2025-01-28,Mumbai,892.9,16.6,44.3,1041.4,70.7
2025-01-29,Mumbai,997.0,17.0,34.3,1167.0,70.8
2025-01-30,Mumbai,917.9,16.8,25.1,1071.7,70.8
2025-01-31,Mumbai,938.4,16.6,81.0,1093.8,66.7
2025-02-01,Mumbai,1017.2,16.7,70.8,1187.4,70.1
2025-02-02,Mumbai,946.7,19.5,61.3,1131.4,70.8
2025-02-03,Mumbai,920.4,17.8,52.0,1084.2,70.9
2025-02-04,Mumbai,917.4,16.9,43.1,1072.1,69.4
2025-02-05,Mumbai,901.8,17.0,34.0,1055.2,70.5
2025-02-06,Mumbai,906.9,18.1,24.9,1071.0,70.9
2025-02-07,Mumbai,979.9,16.7,20.0,1143.9,69.0
2025-02-08,Mumbai,996.9,16.6,20.0,1162.0,69.1
