Date,City,Area,Average_Speed,Congestion_Index,Vehicle_Count,Peak_Hour,Accident_Count
2024-01-10,Mumbai,Suburbs,42.2,44.1,25704,17:00 - 19:00,5
2024-01-10,Mumbai,Industrial,30.2,53.4,18761,08:00 - 10:00,4
2024-01-10,Mumbai,Residential,28.3,39.9,24190,08:00 - 10:00,2
2024-01-11,Mumbai,Downtown,12.6,91.0,63171,08:00 - 10:00,17
2024-01-11,Mumbai,Suburbs,39.9,38.4,25948,08:00 - 10:00,2
2024-01-11,Mumbai,Industrial,26.5,52.4,21445,17:00 - 19:00,2
2024-01-11,Mumbai,Residential,31.3,37.7,23925,17:00 - 19:00,3
2024-01-12,Mumbai,Downtown,11.5,99.0,59775,17:00 - 19:00,30
2024-01-12,Mumbai,Suburbs,42.6,47.0,26811,17:00 - 19:00,7
2024-01-12,Mumbai,Industrial,30.2,61.7,20494,08:00 - 10:00,4
2024-01-12,Mumbai,Residential,21.7,48.7,23749,17:00 - 19:00,7
2024-01-13,Mumbai,Downtown,18.6,49.3,28240,12:00 - 14:00,6
2024-01-13,Mumbai,Suburbs,49.1,32.4,29165,12:00 - 14:00,2
2024-01-13,Mumbai,Industrial,38.5,29.3,10026,12:00 - 14:00,1
2024-01-13,Mumbai,Residential,36.3,25.2,10576,12:00 - 14:00,1
2024-01-14,Mumbai,Downtown,23.2,47.6,30853,12:00 - 14:00,4
2024-01-14,Mumbai,Suburbs,42.9,39.7,29262,12:00 - 14:00,4
2024-01-14,Mumbai,Industrial,40.0,24.9,10573,12:00 - 14:00,1
2024-01-14,Mumbai,Residential,31.9,19.3,13428,12:00 - 14:00,1
2024-01-15,Mumbai,Downtown,10.0,99.0,62824,08:00 - 10:00,32
2024-01-15,Mumbai,Suburbs,32.5,54.7,27051,08:00 - 10:00,8
2024-01-15,Mumbai,Industrial,19.3,71.6,20560,17:00 - 19:00,5
2024-01-15,Mumbai,Residential,19.8,61.9,23654,17:00 - 19:00,7
2024-01-16,Mumbai,Downtown,10.0,99.0,60603,17:00 - 19:00,42
2024-01-16,Mumbai,Suburbs,37.3,55.0,27310,08:00 - 10:00,6
2024-01-16,Mumbai,Industrial,18.4,65.7,20458,08:00 - 10:00,7
2024-01-16,Mumbai,Residential,17.6,58.3,24230,08:00 - 10:00,5
2024-01-17,Mumbai,Downtown,16.1,82.4,60681,17:00 - 19:00,20
2024-01-17,Mumbai,Suburbs,43.0,36.0,27177,17:00 - 19:00,2
2024-01-17,Mumbai,Industrial,35.2,49.8,19430,17:00 - 19:00,5
2024-01-17,Mumbai,Residential,29.3,39.0,25151,08:00 - 10:00,3
2024-01-18,Mumbai,Downtown,10.0,92.2,60829,17:00 - 19:00,25
2024-01-18,Mumbai,Suburbs,45.3,35.4,28398,08:00 - 10:00,5
2024-01-18,Mumbai,Industrial,31.5,45.4,20281,17:00 - 19:00,4
2024-01-18,Mumbai,Residential,29.1,39.7,24425,08:00 - 10:00,2
2024-01-19,Mumbai,Downtown,11.0,85.8,62799,17:00 - 19:00,15
2024-01-19,Mumbai,Suburbs,45.4,34.3,26407,17:00 - 19:00,3
2024-01-19,Mumbai,Industrial,36.5,41.7,19689,17:00 - 19:00,4
2024-01-19,Mumbai,Residential,31.6,42.0,25189,08:00 - 10:00,4
2024-01-20,Mumbai,Downtown,16.3,46.5,27854,12:00 - 14:00,4
2024-01-20,Mumbai,Suburbs,49.5,35.2,29737,12:00 - 14:00,3
2024-01-20,Mumbai,Industrial,34.2,25.8,9625,12:00 - 14:00,1
2024-01-20,Mumbai,Residential,33.3,25.0,12128,12:00 - 14:00,1
2024-01-21,Mumbai,Downtown,23.8,37.4,31766,12:00 - 14:00,3
2024-01-21,Mumbai,Suburbs,42.9,43.6,28760,12:00 - 14:00,3
2024-01-21,Mumbai,Industrial,36.8,25.5,9811,12:00 - 14:00,1
2024-01-21,Mumbai,Residential,32.2,25.0,12595,12:00 - 14:00,1
2024-01-22,Mumbai,Downtown,11.3,94.8,62289,17:00 - 19:00,22
2024-01-22,Mumbai,Suburbs,51.5,34.4,26354,17:00 - 19:00,3
2024-01-22,Mumbai,Industrial,32.1,47.6,21386,08:00 - 10:00,3
2024-01-22,Mumbai,Residential,28.7,45.8,25223,17:00 - 19:00,2
2024-01-23,Mumbai,Downtown,10.0,94.4,61894,17:00 - 19:00,41
2024-01-23,Mumbai,Suburbs,34.8,53.3,27408,08:00 - 10:00,4
2024-01-23,Mumbai,Industrial,24.2,60.0,21282,08:00 - 10:00,7
2024-01-23,Mumbai,Residential,22.1,55.4,24552,17:00 - 19:00,7
2024-01-24,Mumbai,Downtown,15.7,89.9,63238,08:00 - 10:00,19
2024-01-24,Mumbai,Suburbs,42.8,41.7,26749,08:00 - 10:00,2
2024-01-24,Mumbai,Industrial,33.4,49.7,20027,08:00 - 10:00,4
2024-01-24,Mumbai,Residential,26.1,46.2,23677,17:00 - 19:00,5
2024-01-25,Mumbai,Downtown,11.4,82.1,58215,17:00 - 19:00,13
2024-01-25,Mumbai,Suburbs,41.1,34.7,27992,17:00 - 19:00,2
2024-01-25,Mumbai,Industrial,31.9,44.1,19652,08:00 - 10:00,4
2024-01-25,Mumbai,Residential,25.4,37.2,25619,08:00 - 10:00,2
2024-01-26,Mumbai,Downtown,13.1,84.2,59898,08:00 - 10:00,11
2024-01-26,Mumbai,Suburbs,46.1,31.0,27001,08:00 - 10:00,4
2024-01-26,Mumbai,Industrial,31.8,49.3,21326,17:00 - 19:00,4
2024-01-26,Mumbai,Residential,29.2,42.9,25210,08:00 - 10:00,3
2024-01-27,Mumbai,Downtown,17.2,43.4,32360,12:00 - 14:00,5
2024-01-27,Mumbai,Suburbs,49.9,34.4,27606,12:00 - 14:00,2
2024-01-27,Mumbai,Industrial,34.0,32.1,11491,12:00 - 14:00,1
2024-01-27,Mumbai,Residential,35.0,18.7,12139,12:00 - 14:00,1
2024-01-28,Mumbai,Downtown,25.5,43.1,31832,12:00 - 14:00,2
2024-01-28,Mumbai,Suburbs,46.7,40.7,31015,12:00 - 14:00,4
2024-01-28,Mumbai,Industrial,40.5,24.6,11359,12:00 - 14:00,1
2024-01-28,Mumbai,Residential,34.4,20.3,13300,12:00 - 14:00,1
2024-01-29,Mumbai,Downtown,11.0,93.1,64995,17:00 - 19:00,19
2024-01-29,Mumbai,Suburbs,43.3,48.6,27320,08:00 - 10:00,5
2024-01-29,Mumbai,Industrial,25.3,54.3,19860,08:00 - 10:00,4
2024-01-29,Mumbai,Residential,26.9,46.3,24612,08:00 - 10:00,5
2024-01-30,Mumbai,Downtown,18.6,81.3,58855,17:00 - 19:00,17
2024-01-30,Mumbai,Suburbs,46.6,41.1,26711,08:00 - 10:00,4
2024-01-30,Mumbai,Industrial,30.3,51.7,19517,17:00 - 19:00,5
2024-01-30,Mumbai,Residential,32.7,38.6,24854,17:00 - 19:00,2
2024-01-31,Mumbai,Downtown,10.0,87.5,62364,08:00 - 10:00,20
2024-01-31,Mumbai,Suburbs,54.2,29.6,28040,17:00 - 19:00,4
2024-01-31,Mumbai,Industrial,31.5,43.1,19930,17:00 - 19:00,3
2024-01-31,Mumbai,Residential,25.6,47.6,25176,17:00 - 19:00,4
2024-02-01,Mumbai,Downtown,17.9,88.5,58650,08:00 - 10:00,24
2024-02-01,Mumbai,Suburbs,38.7,40.9,26659,08:00 - 10:00,4
2024-02-01,Mumbai,Industrial,30.9,44.4,19724,08:00 - 10:00,2
2024-02-01,Mumbai,Residential,30.7,40.2,23230,08:00 - 10:00,2
2024-02-02,Mumbai,Downtown,10.0,89.1,66467,17:00 - 19:00,29
2024-02-02,Mumbai,Suburbs,54.0,31.4,25599,08:00 - 10:00,3
2024-02-02,Mumbai,Industrial,32.9,50.9,20904,08:00 - 10:00,4
2024-02-02,Mumbai,Residential,28.8,42.2,23723,17:00 - 19:00,3
2024-02-03,Mumbai,Downtown,22.2,36.0,27706,12:00 - 14:00,4
2024-02-03,Mumbai,Suburbs,49.6,37.2,28819,12:00 - 14:00,4
2024-02-03,Mumbai,Industrial,30.9,28.3,9957,12:00 - 14:00,1
2024-02-03,Mumbai,Residential,41.9,22.6,12065,12:00 - 14:00,1
2024-02-04,Mumbai,Downtown,19.6,36.3,31546,12:00 - 14:00,5
2024-02-04,Mumbai,Suburbs,45.1,37.3,30350,12:00 - 14:00,4
2024-02-04,Mumbai,Industrial,37.5,18.6,9953,12:00 - 14:00,1
2024-02-04,Mumbai,Residential,33.3,20.7,13226,12:00 - 14:00,1
2024-02-05,Mumbai,Downtown,12.4,90.1,61162,08:00 - 10:00,10
2024-02-05,Mumbai,Suburbs,51.5,27.7,27649,17:00 - 19:00,2
2024-02-05,Mumbai,Industrial,35.3,39.8,20626,08:00 - 10:00,3
2024-02-05,Mumbai,Residential,31.1,41.2,25195,17:00 - 19:00,5
2024-02-06,Mumbai,Downtown,14.6,91.7,59790,08:00 - 10:00,13
2024-02-06,Mumbai,Suburbs,47.2,39.2,26845,08:00 - 10:00,3
2024-02-06,Mumbai,Industrial,27.4,46.9,18923,08:00 - 10:00,4
2024-02-06,Mumbai,Residential,31.9,41.5,24443,08:00 - 10:00,4
2024-02-07,Mumbai,Downtown,12.5,91.6,60773,17:00 - 19:00,24
2024-02-07,Mumbai,Suburbs,50.3,28.9,26996,08:00 - 10:00,3
2024-02-07,Mumbai,Industrial,31.8,43.1,18548,17:00 - 19:00,2
2024-02-07,Mumbai,Residential,32.8,28.9,25208,17:00 - 19:00,2
2024-02-08,Mumbai,Downtown,10.0,87.7,56492,17:00 - 19:00,16
2024-02-08,Mumbai,Suburbs,46.4,32.3,26450,08:00 - 10:00,3
2024-02-08,Mumbai,Industrial,32.8,49.8,21041,17:00 - 19:00,4
2024-02-08,Mumbai,Residential,32.1,39.6,23203,08:00 - 10:00,3
2024-02-09,Mumbai,Downtown,13.1,85.8,60338,08:00 - 10:00,13
2024-02-09,Mumbai,Suburbs,45.5,30.5,28021,17:00 - 19:00,4
2024-02-09,Mumbai,Industrial,32.3,47.5,19632,17:00 - 19:00,4
2024-02-09,Mumbai,Residential,27.1,50.0,24613,08:00 - 10:00,5
2024-02-10,Mumbai,Downtown,25.8,47.7,32672,12:00 - 14:00,3
2024-02-10,Mumbai,Suburbs,47.2,38.1,30260,12:00 - 14:00,3
2024-02-10,Mumbai,Industrial,37.8,27.0,10128,12:00 - 14:00,1
2024-02-10,Mumbai,Residential,26.5,28.1,12260,12:00 - 14:00,1
2024-02-11,Mumbai,Downtown,20.7,44.1,31590,12:00 - 14:00,7
2024-02-11,Mumbai,Suburbs,46.6,33.8,27336,12:00 - 14:00,3
2024-02-11,Mumbai,Industrial,35.6,25.9,10191,12:00 - 14:00,1
2024-02-11,Mumbai,Residential,37.1,19.8,12385,12:00 - 14:00,1
2024-02-12,Mumbai,Downtown,10.0,99.0,59767,17:00 - 19:00,22
2024-02-12,Mumbai,Suburbs,33.9,45.1,26271,17:00 - 19:00,4
2024-02-12,Mumbai,Industrial,19.1,73.1,18608,08:00 - 10:00,10
2024-02-12,Mumbai,Residential,18.3,64.9,22830,08:00 - 10:00,8
2024-02-13,Mumbai,Downtown,10.0,95.9,57128,08:00 - 10:00,21
2024-02-13,Mumbai,Suburbs,48.2,34.8,26472,08:00 - 10:00,2
2024-02-13,Mumbai,Industrial,26.9,47.3,19184,17:00 - 19:00,3
2024-02-13,Mumbai,Residential,29.4,43.6,23603,08:00 - 10:00,4
2024-02-14,Mumbai,Downtown,10.6,82.6,61285,08:00 - 10:00,14
2024-02-14,Mumbai,Suburbs,51.1,30.9,26913,08:00 - 10:00,4
2024-02-14,Mumbai,Industrial,25.3,45.0,20686,17:00 - 19:00,2
2024-02-14,Mumbai,Residential,28.5,40.1,23495,17:00 - 19:00,2
2024-02-15,Mumbai,Downtown,10.0,95.8,57681,08:00 - 10:00,21
2024-02-15,Mumbai,Suburbs,42.8,36.4,29067,08:00 - 10:00,8
2024-02-15,Mumbai,Industrial,27.7,54.0,20990,08:00 - 10:00,8
2024-02-15,Mumbai,Residential,27.4,50.1,24635,17:00 - 19:00,8
2024-02-16,Mumbai,Downtown,10.9,99.0,58156,08:00 - 10:00,29
2024-02-16,Mumbai,Suburbs,45.0,36.0,27627,08:00 - 10:00,4
2024-02-16,Mumbai,Industrial,31.8,53.7,19995,08:00 - 10:00,3
2024-02-16,Mumbai,Residential,28.0,44.3,24453,08:00 - 10:00,7
2024-02-17,Mumbai,Downtown,19.4,46.2,31565,12:00 - 14:00,4
2024-02-17,Mumbai,Suburbs,51.5,30.9,27980,12:00 - 14:00,4
2024-02-17,Mumbai,Industrial,37.4,21.1,8828,12:00 - 14:00,0
2024-02-17,Mumbai,Residential,33.7,20.9,13754,12:00 - 14:00,1
2024-02-18,Mumbai,Downtown,19.3,46.0,28270,12:00 - 14:00,4
2024-02-18,Mumbai,Suburbs,41.3,40.2,29470,12:00 - 14:00,3
2024-02-18,Mumbai,Industrial,37.4,27.3,10262,12:00 - 14:00,1
2024-02-18,Mumbai,Residential,36.0,17.4,10178,12:00 - 14:00,1
2024-02-19,Mumbai,Downtown,12.3,83.9,59375,17:00 - 19:00,24
2024-02-19,Mumbai,Suburbs,47.8,39.1,27977,08:00 - 10:00,4
2024-02-19,Mumbai,Industrial,29.9,46.4,20837,08:00 - 10:00,3
2024-02-19,Mumbai,Residential,28.5,41.2,23685,17:00 - 19:00,4
2024-02-20,Mumbai,Downtown,10.0,84.8,60087,17:00 - 19:00,13
2024-02-20,Mumbai,Suburbs,45.8,34.1,27770,08:00 - 10:00,4
2024-02-20,Mumbai,Industrial,33.9,43.4,20292,17:00 - 19:00,4
2024-02-20,Mumbai,Residential,30.6,43.7,22296,17:00 - 19:00,2
2024-02-21,Mumbai,Downtown,14.6,89.5,58721,17:00 - 19:00,14
2024-02-21,Mumbai,Suburbs,44.9,41.5,25995,08:00 - 10:00,5
2024-02-21,Mumbai,Industrial,31.8,45.9,20676,17:00 - 19:00,3
2024-02-21,Mumbai,Residential,29.9,41.2,24615,08:00 - 10:00,2
2024-02-22,Mumbai,Downtown,12.8,88.3,63492,08:00 - 10:00,17
2024-02-22,Mumbai,Suburbs,47.2,40.0,27182,08:00 - 10:00,4
2024-02-22,Mumbai,Industrial,31.6,55.1,21333,08:00 - 10:00,5
2024-02-22,Mumbai,Residential,25.8,43.7,25783,08:00 - 10:00,4
2024-02-23,Mumbai,Downtown,10.0,99.0,59405,08:00 - 10:00,40
2024-02-23,Mumbai,Suburbs,38.0,43.3,27463,17:00 - 19:00,7
2024-02-23,Mumbai,Industrial,20.2,65.0,20860,17:00 - 19:00,6
2024-02-23,Mumbai,Residential,19.9,58.9,24751,17:00 - 19:00,6
2024-02-24,Mumbai,Downtown,21.1,52.3,31632,12:00 - 14:00,4
2024-02-24,Mumbai,Suburbs,48.1,35.9,30309,12:00 - 14:00,5
2024-02-24,Mumbai,Industrial,43.1,27.6,10376,12:00 - 14:00,1
2024-02-24,Mumbai,Residential,34.6,28.2,11431,12:00 - 14:00,1
2024-02-25,Mumbai,Downtown,17.6,49.7,32447,12:00 - 14:00,7
2024-02-25,Mumbai,Suburbs,36.5,44.1,29307,12:00 - 14:00,3
2024-02-25,Mumbai,Industrial,37.4,29.9,9992,12:00 - 14:00,1
2024-02-25,Mumbai,Residential,33.8,24.9,11801,12:00 - 14:00,1
2024-02-26,Mumbai,Downtown,10.0,94.8,61591,17:00 - 19:00,36
2024-02-26,Mumbai,Suburbs,39.0,40.7,28026,17:00 - 19:00,8
2024-02-26,Mumbai,Industrial,34.1,50.0,20005,17:00 - 19:00,4
2024-02-26,Mumbai,Residential,26.2,47.2,24644,08:00 - 10:00,6
2024-02-27,Mumbai,Downtown,10.0,99.0,56684,08:00 - 10:00,23
2024-02-27,Mumbai,Suburbs,42.5,38.7,26573,17:00 - 19:00,5
2024-02-27,Mumbai,Industrial,26.7,56.4,20529,17:00 - 19:00,8
2024-02-27,Mumbai,Residential,21.8,51.9,25298,17:00 - 19:00,4
2024-02-28,Mumbai,Downtown,10.0,99.0,58426,17:00 - 19:00,38
2024-02-28,Mumbai,Suburbs,24.2,69.0,27498,08:00 - 10:00,11
2024-02-28,Mumbai,Industrial,16.0,71.0,20204,08:00 - 10:00,11
2024-02-28,Mumbai,Residential,15.2,71.9,25402,08:00 - 10:00,11
2024-02-29,Mumbai,Downtown,13.7,92.5,60330,17:00 - 19:00,13
2024-02-29,Mumbai,Suburbs,46.9,31.4,26382,17:00 - 19:00,2
2024-02-29,Mumbai,Industrial,28.3,47.5,20177,08:00 - 10:00,3
2024-02-29,Mumbai,Residential,33.6,39.6,24050,17:00 - 19:00,2
2024-03-01,Mumbai,Downtown,10.4,94.0,58982,08:00 - 10:00,24
2024-03-01,Mumbai,Suburbs,47.3,33.8,25952,08:00 - 10:00,3
2024-03-01,Mumbai,Industrial,24.2,53.4,19350,08:00 - 10:00,3
2024-03-01,Mumbai,Residential,27.9,40.7,24308,17:00 - 19:00,4
2024-03-02,Mumbai,Downtown,22.2,42.9,31334,12:00 - 14:00,6
2024-03-02,Mumbai,Suburbs,40.9,43.2,30505,12:00 - 14:00,6
2024-03-02,Mumbai,Industrial,38.5,24.6,9667,12:00 - 14:00,1
2024-03-02,Mumbai,Residential,34.6,17.5,12022,12:00 - 14:00,1
2024-03-03,Mumbai,Downtown,27.8,43.5,32762,12:00 - 14:00,7
2024-03-03,Mumbai,Suburbs,47.0,34.5,29922,12:00 - 14:00,5
2024-03-03,Mumbai,Industrial,37.3,24.7,10460,12:00 - 14:00,1
2024-03-03,Mumbai,Residential,34.8,22.9,12107,12:00 - 14:00,1
2024-03-04,Mumbai,Downtown,14.6,87.8,61188,17:00 - 19:00,14
2024-03-04,Mumbai,Suburbs,45.7,33.6,27136,17:00 - 19:00,4
2024-03-04,Mumbai,Industrial,36.0,48.6,19422,17:00 - 19:00,4
2024-03-04,Mumbai,Residential,38.1,38.5,23418,17:00 - 19:00,3
2024-03-05,Mumbai,Downtown,12.0,88.0,60235,17:00 - 19:00,13
2024-03-05,Mumbai,Suburbs,41.6,32.1,27425,17:00 - 19:00,2
2024-03-05,Mumbai,Industrial,39.8,38.8,21090,17:00 - 19:00,2
2024-03-05,Mumbai,Residential,27.9,37.5,24855,08:00 - 10:00,2
2024-03-06,Mumbai,Downtown,10.9,84.3,56697,08:00 - 10:00,19
2024-03-06,Mumbai,Suburbs,40.5,34.8,27818,17:00 - 19:00,3
2024-03-06,Mumbai,Industrial,34.2,43.2,18915,17:00 - 19:00,2
2024-03-06,Mumbai,Residential,35.1,37.2,25060,17:00 - 19:00,3
2024-03-07,Mumbai,Downtown,14.1,90.4,61584,08:00 - 10:00,18
2024-03-07,Mumbai,Suburbs,44.6,33.4,28144,17:00 - 19:00,3
2024-03-07,Mumbai,Industrial,33.4,49.6,20717,08:00 - 10:00,4
2024-03-07,Mumbai,Residential,28.2,36.5,24855,17:00 - 19:00,2
2024-03-08,Mumbai,Downtown,13.6,95.7,61109,08:00 - 10:00,12
2024-03-08,Mumbai,Suburbs,40.2,35.7,26492,17:00 - 19:00,4
2024-03-08,Mumbai,Industrial,29.0,46.4,19573,17:00 - 19:00,4
2024-03-08,Mumbai,Residential,27.3,42.5,23460,17:00 - 19:00,5
2024-03-09,Mumbai,Downtown,20.9,42.2,28884,12:00 - 14:00,6
2024-03-09,Mumbai,Suburbs,39.7,40.2,28827,12:00 - 14:00,3
2024-03-09,Mumbai,Industrial,40.3,18.8,10780,12:00 - 14:00,0
2024-03-09,Mumbai,Residential,33.5,13.9,12446,12:00 - 14:00,1
2024-03-10,Mumbai,Downtown,23.0,43.2,30558,12:00 - 14:00,6
2024-03-10,Mumbai,Suburbs,44.1,35.6,30285,12:00 - 14:00,2
2024-03-10,Mumbai,Industrial,36.6,22.0,9332,12:00 - 14:00,1
2024-03-10,Mumbai,Residential,34.3,19.2,13591,12:00 - 14:00,1
2024-03-11,Mumbai,Downtown,12.3,82.8,58950,08:00 - 10:00,21
2024-03-11,Mumbai,Suburbs,49.3,24.2,26090,17:00 - 19:00,2
2024-03-11,Mumbai,Industrial,31.4,45.2,20077,08:00 - 10:00,2
2024-03-11,Mumbai,Residential,29.4,40.3,24673,08:00 - 10:00,3
2024-03-12,Mumbai,Downtown,12.3,87.6,61512,08:00 - 10:00,22
2024-03-12,Mumbai,Suburbs,40.4,40.2,25917,08:00 - 10:00,4
2024-03-12,Mumbai,Industrial,24.7,45.0,18556,17:00 - 19:00,3
2024-03-12,Mumbai,Residential,30.1,39.8,24956,08:00 - 10:00,3
2024-03-13,Mumbai,Downtown,14.6,82.9,59834,17:00 - 19:00,17
2024-03-13,Mumbai,Suburbs,48.1,32.1,26692,17:00 - 19:00,3
2024-03-13,Mumbai,Industrial,38.0,46.2,20428,17:00 - 19:00,4
2024-03-13,Mumbai,Residential,32.2,39.7,23526,17:00 - 19:00,2
2024-03-14,Mumbai,Downtown,14.6,91.8,59671,17:00 - 19:00,27
2024-03-14,Mumbai,Suburbs,46.9,29.7,26909,17:00 - 19:00,3
2024-03-14,Mumbai,Industrial,31.2,49.4,20490,17:00 - 19:00,2
2024-03-14,Mumbai,Residential,27.9,40.6,25061,17:00 - 19:00,4
2024-03-15,Mumbai,Downtown,14.1,84.7,63463,08:00 - 10:00,20
2024-03-15,Mumbai,Suburbs,45.9,33.7,28092,08:00 - 10:00,3
2024-03-15,Mumbai,Industrial,27.7,53.0,19464,08:00 - 10:00,5
2024-03-15,Mumbai,Residential,23.3,46.5,23128,08:00 - 10:00,4
2024-03-16,Mumbai,Downtown,18.1,45.6,27129,12:00 - 14:00,5
2024-03-16,Mumbai,Suburbs,42.9,44.6,29972,12:00 - 14:00,2
2024-03-16,Mumbai,Industrial,42.1,15.2,10841,12:00 - 14:00,1
2024-03-16,Mumbai,Residential,29.8,19.2,12584,12:00 - 14:00,1
2024-03-17,Mumbai,Downtown,20.9,50.8,30547,12:00 - 14:00,5
2024-03-17,Mumbai,Suburbs,48.4,33.8,29452,12:00 - 14:00,4
2024-03-17,Mumbai,Industrial,35.8,24.5,9946,12:00 - 14:00,1
2024-03-17,Mumbai,Residential,26.2,28.3,11564,12:00 - 14:00,2
2024-03-18,Mumbai,Downtown,11.3,94.3,55262,08:00 - 10:00,25
2024-03-18,Mumbai,Suburbs,44.8,41.7,27109,08:00 - 10:00,2
2024-03-18,Mumbai,Industrial,36.8,44.1,20142,17:00 - 19:00,2
2024-03-18,Mumbai,Residential,30.8,46.3,24411,08:00 - 10:00,3
2024-03-19,Mumbai,Downtown,14.9,81.3,63961,08:00 - 10:00,21
2024-03-19,Mumbai,Suburbs,49.6,30.6,26431,17:00 - 19:00,3
2024-03-19,Mumbai,Industrial,33.6,48.6,20604,08:00 - 10:00,3
2024-03-19,Mumbai,Residential,34.6,29.8,23066,17:00 - 19:00,3
2024-03-20,Mumbai,Downtown,12.5,88.1,61605,08:00 - 10:00,22
2024-03-20,Mumbai,Suburbs,48.4,38.2,28695,17:00 - 19:00,5
2024-03-20,Mumbai,Industrial,27.9,41.3,20514,17:00 - 19:00,4
2024-03-20,Mumbai,Residential,26.2,36.1,25004,17:00 - 19:00,2
2024-03-21,Mumbai,Downtown,14.0,85.8,56080,08:00 - 10:00,22
2024-03-21,Mumbai,Suburbs,48.9,34.2,27454,08:00 - 10:00,4
2024-03-21,Mumbai,Industrial,33.2,39.3,20474,08:00 - 10:00,3
2024-03-21,Mumbai,Residential,27.8,41.0,23743,17:00 - 19:00,2
2024-03-22,Mumbai,Downtown,10.0,91.5,59493,17:00 - 19:00,15
2024-03-22,Mumbai,Suburbs,45.0,35.7,28851,17:00 - 19:00,4
2024-03-22,Mumbai,Industrial,28.5,53.5,20448,17:00 - 19:00,4
2024-03-22,Mumbai,Residential,25.2,41.1,23369,17:00 - 19:00,5
2024-03-23,Mumbai,Downtown,18.6,45.2,31768,12:00 - 14:00,2
2024-03-23,Mumbai,Suburbs,42.9,39.7,29466,12:00 - 14:00,2
2024-03-23,Mumbai,Industrial,43.6,21.5,10648,12:00 - 14:00,1
2024-03-23,Mumbai,Residential,31.8,16.8,13669,12:00 - 14:00,1
2024-03-24,Mumbai,Downtown,18.9,46.8,31616,12:00 - 14:00,10
2024-03-24,Mumbai,Suburbs,37.3,43.9,29355,12:00 - 14:00,6
2024-03-24,Mumbai,Industrial,36.5,28.8,9738,12:00 - 14:00,2
2024-03-24,Mumbai,Residential,28.5,30.8,12681,12:00 - 14:00,1
2024-03-25,Mumbai,Downtown,13.8,89.2,59991,08:00 - 10:00,11
2024-03-25,Mumbai,Suburbs,43.6,37.6,26236,08:00 - 10:00,3
2024-03-25,Mumbai,Industrial,30.3,41.8,19567,17:00 - 19:00,3
