Date,City,District,Crime_Category,Arrest_Status,Case_Status
2024-01-21,Mumbai,District A,Theft,Not Arrested,Active
2024-01-21,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-01-21,Mumbai,District C,Theft,Not Arrested,Active
2024-01-22,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-01-22,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-23,Mumbai,District B,Theft,Not Arrested,Active
2024-01-23,Mumbai,District D,Theft,Not Arrested,Active
2024-01-23,Mumbai,District C,Theft,Not Arrested,Active
2024-01-23,Mumbai,District D,Theft,Not Arrested,Active
2024-01-23,Mumbai,District C,Vandalism,Arrested,Solved
2024-01-24,Mumbai,District A,Theft,Not Arrested,Solved
2024-01-24,Mumbai,District B,Burglary,Not Arrested,Active
2024-01-24,Mumbai,District D,Traffic Violation,Arrested,Solved
2024-01-24,Mumbai,District A,Theft,Not Arrested,Solved
2024-01-25,Mumbai,District A,Assault,Arrested,Solved
2024-01-25,Mumbai,District D,Vandalism,Not Arrested,Active
2024-01-25,Mumbai,District B,Theft,Not Arrested,Active
2024-01-25,Mumbai,District A,Theft,Not Arrested,Active
2024-01-25,Mumbai,District C,Theft,Not Arrested,Active
2024-01-25,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-25,Mumbai,District D,Assault,Arrested,Solved
2024-01-26,Mumbai,District A,Theft,Not Arrested,Active
2024-01-26,Mumbai,District B,Assault,Arrested,Solved
2024-01-26,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-01-26,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-01-26,Mumbai,District A,Theft,Not Arrested,Active
2024-01-26,Mumbai,District A,Assault,Arrested,Solved
2024-01-27,Mumbai,District B,Theft,Not Arrested,Active
2024-01-27,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-01-27,Mumbai,District C,Assault,Not Arrested,Active
2024-01-27,Mumbai,District A,Burglary,Not Arrested,Active
2024-01-27,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-01-27,Mumbai,District D,Traffic Violation,Arrested,Solved
2024-01-28,Mumbai,District C,Theft,Not Arrested,Active
2024-01-28,Mumbai,District A,Vandalism,Arrested,Solved
2024-01-28,Mumbai,District C,Theft,Not Arrested,Active
2024-01-28,Mumbai,District A,Theft,Not Arrested,Active
2024-01-28,Mumbai,District A,Theft,Not Arrested,Active
2024-01-28,Mumbai,District B,Theft,Not Arrested,Solved
2024-01-28,Mumbai,District A,Theft,Not Arrested,Active
2024-01-29,Mumbai,District B,Theft,Arrested,Solved
2024-01-29,Mumbai,District C,Vandalism,Arrested,Solved
2024-01-29,Mumbai,District A,Theft,Not Arrested,Active
2024-01-29,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-29,Mumbai,District C,Burglary,Not Arrested,Active
2024-01-30,Mumbai,District A,Theft,Not Arrested,Active
2024-01-30,Mumbai,District A,Theft,Not Arrested,Active
2024-01-30,Mumbai,District B,Vandalism,Arrested,Solved
2024-01-30,Mumbai,District B,Theft,Arrested,Solved
2024-01-30,Mumbai,District C,Burglary,Not Arrested,Solved
2024-01-30,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-31,Mumbai,District B,Theft,Not Arrested,Active
2024-01-31,Mumbai,District C,Theft,Not Arrested,Active
2024-01-31,Mumbai,District A,Theft,Not Arrested,Active
2024-01-31,Mumbai,District B,Burglary,Not Arrested,Active
2024-01-31,Mumbai,District A,Theft,Not Arrested,Active
2024-01-31,Mumbai,District C,Burglary,Not Arrested,Active
2024-02-01,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-01,Mumbai,District B,Assault,Arrested,Solved
2024-02-01,Mumbai,District C,Burglary,Not Arrested,Active
2024-02-01,Mumbai,District A,Theft,Arrested,Solved
2024-02-01,Mumbai,District A,Vandalism,Arrested,Solved
2024-02-02,Mumbai,District C,Theft,Not Arrested,Active
2024-02-02,Mumbai,District B,Vandalism,Not Arrested,Solved
2024-02-02,Mumbai,District C,Theft,Not Arrested,Active
2024-02-02,Mumbai,District A,Theft,Arrested,Solved
2024-02-02,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-02,Mumbai,District A,Theft,Not Arrested,Solved
2024-02-03,Mumbai,District A,Assault,Not Arrested,Active
2024-02-03,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-03,Mumbai,District A,Theft,Not Arrested,Solved
2024-02-03,Mumbai,District B,Theft,Not Arrested,Active
2024-02-03,Mumbai,District A,Theft,Not Arrested,Active
2024-02-03,Mumbai,District C,Assault,Arrested,Solved
2024-02-03,Mumbai,District A,Theft,Arrested,Solved
2024-02-03,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-03,Mumbai,District B,Assault,Not Arrested,Solved
2024-02-03,Mumbai,District C,Theft,Arrested,Solved
2024-02-04,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-04,Mumbai,District A,Theft,Not Arrested,Active
2024-02-04,Mumbai,District C,Burglary,Arrested,Solved
2024-02-04,Mumbai,District B,Theft,Arrested,Solved
2024-02-04,Mumbai,District C,Vandalism,Not Arrested,Active
2024-02-04,Mumbai,District A,Burglary,Not Arrested,Solved
2024-02-04,Mumbai,District A,Theft,Not Arrested,Active
2024-02-04,Mumbai,District B,Theft,Not Arrested,Active
2024-02-04,Mumbai,District D,Vandalism,Not Arrested,Active
2024-02-05,Mumbai,District A,Theft,Not Arrested,Active
2024-02-05,Mumbai,District B,Assault,Not Arrested,Active
2024-02-05,Mumbai,District C,Burglary,Arrested,Solved
2024-02-05,Mumbai,District D,Vandalism,Arrested,Solved
2024-02-05,Mumbai,District B,Theft,Not Arrested,Active
2024-02-06,Mumbai,District B,Theft,Not Arrested,Active
2024-02-06,Mumbai,District A,Theft,Not Arrested,Active
2024-02-06,Mumbai,District C,Assault,Not Arrested,Active
2024-02-06,Mumbai,District A,Theft,Not Arrested,Active
2024-02-06,Mumbai,District D,Assault,Arrested,Solved
2024-02-06,Mumbai,District D,Theft,Arrested,Solved
2024-02-06,Mumbai,District B,Vandalism,Not Arrested,Active
2024-02-06,Mumbai,District B,Vandalism,Arrested,Solved
2024-02-06,Mumbai,District A,Theft,Arrested,Solved
2024-02-06,Mumbai,District B,Theft,Arrested,Solved
2024-02-07,Mumbai,District B,Assault,Arrested,Solved
2024-02-07,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-07,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-07,Mumbai,District C,Theft,Not Arrested,Active
2024-02-07,Mumbai,District D,Theft,Arrested,Solved
2024-02-07,Mumbai,District A,Theft,Not Arrested,Solved
2024-02-07,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-07,Mumbai,District A,Theft,Not Arrested,Active
2024-02-08,Mumbai,District B,Theft,Not Arrested,Active
2024-02-08,Mumbai,District B,Theft,Not Arrested,Active
2024-02-08,Mumbai,District B,Theft,Not Arrested,Active
2024-02-08,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-08,Mumbai,District C,Vandalism,Not Arrested,Active
2024-02-09,Mumbai,District A,Theft,Not Arrested,Active
2024-02-09,Mumbai,District C,Vandalism,Not Arrested,Solved
2024-02-09,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-09,Mumbai,District B,Theft,Not Arrested,Active
2024-02-09,Mumbai,District C,Theft,Not Arrested,Active
2024-02-10,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-10,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-10,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-10,Mumbai,District A,Theft,Not Arrested,Active
2024-02-10,Mumbai,District A,Theft,Not Arrested,Active
2024-02-10,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-10,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-10,Mumbai,District B,Assault,Arrested,Solved
2024-02-10,Mumbai,District C,Theft,Not Arrested,Active
2024-02-10,Mumbai,District C,Vandalism,Not Arrested,Active
2024-02-11,Mumbai,District D,Vandalism,Not Arrested,Solved
2024-02-11,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-12,Mumbai,District D,Theft,Not Arrested,Active
2024-02-12,Mumbai,District A,Theft,Not Arrested,Active
2024-02-13,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-13,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-13,Mumbai,District B,Theft,Not Arrested,Active
2024-02-13,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-14,Mumbai,District C,Burglary,Not Arrested,Active
2024-02-14,Mumbai,District C,Assault,Arrested,Solved
2024-02-14,Mumbai,District D,Vandalism,Not Arrested,Active
2024-02-14,Mumbai,District A,Assault,Arrested,Solved
2024-02-14,Mumbai,District A,Theft,Not Arrested,Active
2024-02-15,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-15,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-15,Mumbai,District A,Burglary,Arrested,Solved
2024-02-15,Mumbai,District A,Theft,Arrested,Solved
2024-02-15,Mumbai,District A,Theft,Arrested,Solved
2024-02-15,Mumbai,District B,Theft,Not Arrested,Active
2024-02-16,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-16,Mumbai,District A,Vandalism,Arrested,Solved
2024-02-16,Mumbai,District C,Vandalism,Not Arrested,Active
2024-02-16,Mumbai,District B,Theft,Not Arrested,Active
2024-02-17,Mumbai,District B,Vandalism,Arrested,Solved
2024-02-17,Mumbai,District B,Vandalism,Not Arrested,Active
2024-02-17,Mumbai,District B,Theft,Not Arrested,Active
2024-02-17,Mumbai,District C,Vandalism,Not Arrested,Active
2024-02-17,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-17,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-17,Mumbai,District C,Burglary,Not Arrested,Active
2024-02-17,Mumbai,District C,Theft,Not Arrested,Active
2024-02-17,Mumbai,District C,Assault,Arrested,Solved
2024-02-17,Mumbai,District A,Vandalism,Arrested,Solved
2024-02-17,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-17,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-17,Mumbai,District B,Theft,Arrested,Solved
2024-02-17,Mumbai,District A,Assault,Arrested,Solved
2024-02-17,Mumbai,District A,Theft,Not Arrested,Active
2024-02-18,Mumbai,District A,Theft,Not Arrested,Solved
2024-02-18,Mumbai,District A,Assault,Arrested,Solved
2024-02-18,Mumbai,District A,Assault,Arrested,Solved
2024-02-18,Mumbai,District B,Theft,Not Arrested,Active
2024-02-18,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-18,Mumbai,District B,Theft,Not Arrested,Active
2024-02-19,Mumbai,District D,Theft,Arrested,Solved
2024-02-19,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-19,Mumbai,District A,Theft,Not Arrested,Solved
2024-02-19,Mumbai,District A,Theft,Not Arrested,Active
2024-02-19,Mumbai,District A,Theft,Arrested,Solved
2024-02-19,Mumbai,District A,Theft,Not Arrested,Active
2024-02-19,Mumbai,District B,Theft,Arrested,Solved
2024-02-19,Mumbai,District D,Assault,Arrested,Solved
2024-02-19,Mumbai,District B,Burglary,Arrested,Solved
2024-02-20,Mumbai,District B,Theft,Arrested,Solved
2024-02-20,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-20,Mumbai,District B,Vandalism,Not Arrested,Active
2024-02-21,Mumbai,District D,Vandalism,Not Arrested,Active
2024-02-21,Mumbai,District D,Vandalism,Not Arrested,Active
2024-02-21,Mumbai,District C,Theft,Not Arrested,Active
2024-02-21,Mumbai,District A,Burglary,Arrested,Solved
2024-02-21,Mumbai,District A,Theft,Not Arrested,Active
2024-02-21,Mumbai,District B,Theft,Arrested,Solved
2024-02-21,Mumbai,District A,Vandalism,Not Arrested,Solved
2024-02-21,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-02-21,Mumbai,District A,Theft,Not Arrested,Active
2024-02-21,Mumbai,District A,Assault,Not Arrested,Active
2024-02-22,Mumbai,District B,Vandalism,Not Arrested,Active
2024-02-22,Mumbai,District B,Assault,Arrested,Solved
2024-02-22,Mumbai,District A,Vandalism,Arrested,Solved
2024-02-22,Mumbai,District A,Theft,Not Arrested,Active
2024-02-22,Mumbai,District A,Theft,Not Arrested,Active
2024-02-22,Mumbai,District D,Theft,Arrested,Solved
2024-02-23,Mumbai,District C,Burglary,Not Arrested,Active
2024-02-23,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-23,Mumbai,District A,Theft,Not Arrested,Solved
2024-02-23,Mumbai,District B,Theft,Not Arrested,Active
2024-02-23,Mumbai,District A,Theft,Not Arrested,Active
2024-02-23,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-23,Mumbai,District B,Burglary,Arrested,Solved
2024-02-23,Mumbai,District C,Assault,Arrested,Solved
2024-02-23,Mumbai,District A,Theft,Arrested,Solved
2024-02-23,Mumbai,District B,Theft,Not Arrested,Solved
2024-02-23,Mumbai,District C,Assault,Not Arrested,Solved
2024-02-23,Mumbai,District B,Burglary,Not Arrested,Solved
2024-02-23,Mumbai,District B,Vandalism,Arrested,Solved
2024-02-23,Mumbai,District B,Theft,Arrested,Solved
2024-02-23,Mumbai,District C,Vandalism,Not Arrested,Active
2024-02-23,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-23,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-24,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-24,Mumbai,District C,Burglary,Not Arrested,Active
2024-02-24,Mumbai,District B,Theft,Not Arrested,Active
2024-02-24,Mumbai,District B,Vandalism,Not Arrested,Active
2024-02-24,Mumbai,District C,Assault,Arrested,Solved
2024-02-24,Mumbai,District B,Assault,Arrested,Solved
2024-02-24,Mumbai,District B,Vandalism,Not Arrested,Active
2024-02-24,Mumbai,District B,Theft,Not Arrested,Active
2024-02-24,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-24,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-25,Mumbai,District D,Theft,Not Arrested,Active
2024-02-25,Mumbai,District A,Theft,Not Arrested,Active
2024-02-25,Mumbai,District D,Burglary,Arrested,Solved
2024-02-25,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-25,Mumbai,District C,Theft,Not Arrested,Active
2024-02-25,Mumbai,District B,Theft,Not Arrested,Active
2024-02-25,Mumbai,District A,Theft,Arrested,Solved
2024-02-25,Mumbai,District B,Assault,Not Arrested,Active
2024-02-25,Mumbai,District C,Theft,Not Arrested,Active
2024-02-25,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-26,Mumbai,District D,Theft,Not Arrested,Active
2024-02-26,Mumbai,District D,Vandalism,Not Arrested,Active
2024-02-26,Mumbai,District A,Theft,Not Arrested,Active
2024-02-26,Mumbai,District C,Theft,Not Arrested,Active
2024-02-26,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-26,Mumbai,District B,Assault,Not Arrested,Active
2024-02-26,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-02-27,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-27,Mumbai,District B,Theft,Not Arrested,Active
2024-02-27,Mumbai,District C,Theft,Not Arrested,Active
2024-02-27,Mumbai,District B,Theft,Not Arrested,Active
2024-02-27,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-02-27,Mumbai,District B,Assault,Not Arrested,Active
2024-02-27,Mumbai,District B,Theft,Not Arrested,Active
2024-02-27,Mumbai,District C,Theft,Arrested,Solved
2024-02-27,Mumbai,District A,Theft,Not Arrested,Active
2024-02-28,Mumbai,District D,Theft,Not Arrested,Active
2024-02-28,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-28,Mumbai,District A,Vandalism,Not Arrested,Active
2024-02-28,Mumbai,District C,Assault,Arrested,Solved
2024-02-28,Mumbai,District A,Theft,Not Arrested,Active
2024-02-28,Mumbai,District C,Vandalism,Not Arrested,Active
2024-02-28,Mumbai,District B,Theft,Not Arrested,Active
2024-02-28,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-02-29,Mumbai,District A,Theft,Arrested,Solved
2024-02-29,Mumbai,District B,Assault,Arrested,Solved
2024-02-29,Mumbai,District A,Assault,Not Arrested,Active
2024-02-29,Mumbai,District A,Theft,Not Arrested,Active
2024-02-29,Mumbai,District B,Burglary,Not Arrested,Active
2024-02-29,Mumbai,District A,Burglary,Not Arrested,Active
2024-02-29,Mumbai,District C,Theft,Not Arrested,Active
2024-02-29,Mumbai,District B,Assault,Not Arrested,Active
2024-02-29,Mumbai,District C,Theft,Not Arrested,Active
2024-03-01,Mumbai,District A,Theft,Not Arrested,Active
2024-03-01,Mumbai,District C,Theft,Arrested,Solved
2024-03-01,Mumbai,District A,Vandalism,Not Arrested,Active
2024-03-01,Mumbai,District B,Burglary,Arrested,Solved
2024-03-01,Mumbai,District B,Vandalism,Not Arrested,Active
2024-03-01,Mumbai,District B,Theft,Not Arrested,Active
2024-03-01,Mumbai,District A,Burglary,Not Arrested,Active
2024-03-01,Mumbai,District C,Theft,Not Arrested,Active
2024-03-02,Mumbai,District B,Theft,Arrested,Solved
2024-03-02,Mumbai,District A,Theft,Not Arrested,Active
2024-03-02,Mumbai,District D,Burglary,Arrested,Solved
2024-03-02,Mumbai,District D,Theft,Not Arrested,Active
2024-03-02,Mumbai,District A,Theft,Not Arrested,Active
2024-03-02,Mumbai,District B,Vandalism,Not Arrested,Active
2024-03-02,Mumbai,District B,Theft,Not Arrested,Active
2024-03-02,Mumbai,District B,Theft,Not Arrested,Active
2024-03-02,Mumbai,District C,Assault,Arrested,Solved
2024-03-02,Mumbai,District A,Theft,Not Arrested,Active
2024-03-02,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-03-02,Mumbai,District C,Theft,Not Arrested,Active
2024-03-02,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-03-02,Mumbai,District C,Vandalism,Not Arrested,Solved
2024-03-03,Mumbai,District B,Theft,Not Arrested,Active
2024-03-03,Mumbai,District C,Burglary,Not Arrested,Solved
2024-03-03,Mumbai,District C,Assault,Arrested,Solved
2024-03-03,Mumbai,District A,Theft,Not Arrested,Active
2024-03-03,Mumbai,District D,Burglary,Not Arrested,Active
2024-03-03,Mumbai,District C,Assault,Not Arrested,Active
2024-03-03,Mumbai,District C,Burglary,Not Arrested,Active
2024-03-03,Mumbai,District C,Theft,Not Arrested,Active
2024-03-03,Mumbai,District D,Assault,Arrested,Solved
2024-03-03,Mumbai,District B,Theft,Not Arrested,Solved
2024-03-03,Mumbai,District C,Vandalism,Not Arrested,Solved
2024-03-03,Mumbai,District C,Theft,Not Arrested,Active
2024-03-04,Mumbai,District A,Assault,Arrested,Solved
2024-03-04,Mumbai,District A,Theft,Arrested,Solved
2024-03-04,Mumbai,District B,Vandalism,Not Arrested,Active
2024-03-04,Mumbai,District B,Burglary,Not Arrested,Solved
2024-03-04,Mumbai,District B,Theft,Not Arrested,Active
2024-03-04,Mumbai,District B,Assault,Arrested,Solved
2024-03-04,Mumbai,District C,Theft,Not Arrested,Active
