Date,City,Daily_Passengers,Bus_Utilization,Metro_Ridership,Average_Delay,Route_Efficiency
2024-02-01,Mumbai,174382,57.6,104629,19.0,81.3
2024-02-02,Mumbai,179582,56.9,107749,10.5,87.6
2024-02-03,Mumbai,108978,64.6,65386,10.3,84.6
2024-02-04,Mumbai,98878,62.3,59326,10.0,91.4
2024-02-05,Mumbai,174053,59.4,104431,14.6,81.8
2024-02-06,Mumbai,177862,62.3,106717,13.7,83.5
2024-02-07,Mumbai,173195,69.1,103917,15.5,79.4
2024-02-08,Mumbai,182246,56.1,109347,14.1,84.7
2024-02-09,Mumbai,186529,72.0,111917,15.3,81.0
2024-02-10,Mumbai,92528,67.6,55516,12.8,87.3
2024-02-11,Mumbai,100996,69.4,60597,8.3,92.2
2024-02-12,Mumbai,184380,63.9,119847,34.9,67.3
2024-02-13,Mumbai,187357,59.5,112414,17.8,77.5
2024-02-14,Mumbai,177390,67.0,106434,14.9,84.3
2024-02-15,Mumbai,176714,62.4,114864,19.8,81.1
2024-02-16,Mumbai,184210,56.7,119736,19.3,78.8
2024-02-17,Mumbai,93589,72.1,56153,10.3,87.4
2024-02-18,Mumbai,96034,62.1,57620,9.5,87.3
2024-02-19,Mumbai,192474,62.1,115484,15.7,77.4
2024-02-20,Mumbai,178466,62.1,107079,14.7,84.4
2024-02-21,Mumbai,184946,71.2,110967,19.1,77.3
2024-02-22,Mumbai,177192,65.4,106315,16.2,83.9
2024-02-23,Mumbai,181168,54.1,117759,28.4,71.3
2024-02-24,Mumbai,107978,66.4,64786,10.7,84.4
2024-02-25,Mumbai,109810,65.1,65886,13.0,82.3
2024-02-26,Mumbai,190404,53.3,123762,22.2,77.6
2024-02-27,Mumbai,181487,61.4,117966,26.8,74.9
2024-02-28,Mumbai,174601,54.9,113490,41.0,60.8
2024-02-29,Mumbai,189755,66.9,113853,15.2,83.6
2024-03-01,Mumbai,184023,71.3,110413,18.8,78.4
2024-03-02,Mumbai,109979,69.2,65987,9.9,84.3
2024-03-03,Mumbai,102400,63.8,61440,10.4,84.0
2024-03-04,Mumbai,177613,69.5,106567,12.1,83.2
2024-03-05,Mumbai,171456,66.4,102873,15.6,81.4
2024-03-06,Mumbai,180730,75.4,108438,14.9,82.7
2024-03-07,Mumbai,181539,65.2,108923,15.9,83.0
2024-03-08,Mumbai,180644,67.8,108386,18.7,82.3
2024-03-09,Mumbai,112243,55.7,67345,11.7,83.5
2024-03-10,Mumbai,102830,60.2,61698,8.6,87.4
2024-03-11,Mumbai,186428,67.4,111856,14.9,78.6
2024-03-12,Mumbai,179542,66.8,107725,15.1,82.6
2024-03-13,Mumbai,179185,67.4,107511,14.6,86.9
2024-03-14,Mumbai,173896,65.4,104337,14.3,81.8
2024-03-15,Mumbai,183128,59.5,109876,18.4,80.5
2024-03-16,Mumbai,97733,64.3,58639,11.1,87.8
2024-03-17,Mumbai,97542,67.3,58525,9.0,91.3
2024-03-18,Mumbai,173356,66.5,104013,17.0,84.4
2024-03-19,Mumbai,176554,67.3,105932,13.7,82.9
2024-03-20,Mumbai,184640,56.9,110784,17.2,79.9
2024-03-21,Mumbai,184276,63.8,110565,15.2,85.5
2024-03-22,Mumbai,183418,63.5,110050,18.8,81.3
2024-03-23,Mumbai,96921,70.7,58152,7.1,87.9
2024-03-24,Mumbai,99946,58.7,64964,14.8,84.7
2024-03-25,Mumbai,183294,66.2,109976,12.4,84.6
2024-03-26,Mumbai,173643,67.9,104185,15.8,84.2
2024-03-27,Mumbai,188314,72.3,112988,17.7,78.7
2024-03-28,Mumbai,183531,57.8,119295,20.7,79.7
2024-03-29,Mumbai,185770,63.7,111462,16.7,83.8
2024-03-30,Mumbai,99870,59.9,59922,12.6,81.4
2024-03-31,Mumbai,107841,59.3,70096,13.2,85.2
2024-04-01,Mumbai,173878,62.6,113020,48.8,60.4
2024-04-02,Mumbai,172648,67.0,103588,14.0,85.2
2024-04-03,Mumbai,175747,73.6,105448,15.5,81.1
2024-04-04,Mumbai,178019,62.1,106811,15.8,80.0
2024-04-05,Mumbai,176767,71.7,106060,14.6,79.5
2024-04-06,Mumbai,103116,65.5,61869,9.6,84.6
2024-04-07,Mumbai,96618,62.5,57970,9.0,84.8
2024-04-08,Mumbai,180682,68.2,108409,14.3,85.8
2024-04-09,Mumbai,171648,73.5,102988,17.9,81.1
2024-04-10,Mumbai,179299,64.0,107579,19.5,80.8
2024-04-11,Mumbai,179637,53.0,107782,14.6,81.7
2024-04-12,Mumbai,179541,61.2,116701,22.3,74.6
2024-04-13,Mumbai,94494,69.4,56696,11.7,86.9
2024-04-14,Mumbai,99673,63.7,59803,11.2,88.4
2024-04-15,Mumbai,178618,68.8,107170,14.8,83.9
2024-04-16,Mumbai,183602,66.2,110161,15.2,84.6
2024-04-17,Mumbai,177585,60.6,115430,18.9,77.9
2024-04-18,Mumbai,187862,62.8,112717,15.4,79.5
2024-04-19,Mumbai,185374,74.0,111224,12.7,83.0
2024-04-20,Mumbai,98607,63.1,59164,10.0,83.3
2024-04-21,Mumbai,96467,74.7,57880,9.1,91.2
2024-04-22,Mumbai,175475,63.4,114058,25.9,74.5
2024-04-23,Mumbai,181533,61.1,108919,15.0,80.3
2024-04-24,Mumbai,168848,57.6,101308,15.4,80.2
2024-04-25,Mumbai,177967,65.7,106780,15.1,83.2
2024-04-26,Mumbai,173174,64.7,103904,14.8,81.3
2024-04-27,Mumbai,98377,68.9,59026,7.7,90.5
2024-04-28,Mumbai,95457,64.1,57274,10.7,87.6
2024-04-29,Mumbai,180675,64.3,108405,13.4,84.1
2024-04-30,Mumbai,187070,65.2,112242,14.6,82.1
2024-05-01,Mumbai,173003,62.2,103801,17.3,81.8
2024-05-02,Mumbai,169816,61.4,110380,31.4,70.3
2024-05-03,Mumbai,177996,61.8,115697,25.5,73.6
2024-05-04,Mumbai,101240,58.9,60744,7.8,88.0
2024-05-05,Mumbai,102655,64.0,61593,11.3,86.4
2024-05-06,Mumbai,174346,58.0,113324,26.2,74.8
2024-05-07,Mumbai,183811,66.0,119477,28.9,71.3
2024-05-08,Mumbai,187373,58.3,112423,17.2,80.6
2024-05-09,Mumbai,181935,69.9,109161,13.4,86.2
2024-05-10,Mumbai,180077,61.5,117050,41.4,61.7
2024-05-11,Mumbai,102610,65.4,61566,11.4,88.9
2024-05-12,Mumbai,103959,65.8,62375,9.4,90.5
2024-05-13,Mumbai,184688,58.8,120047,23.6,76.6
2024-05-14,Mumbai,177343,63.7,115272,20.6,78.8
2024-05-15,Mumbai,174031,58.9,104418,15.0,84.7
2024-05-16,Mumbai,185257,59.3,111154,14.4,83.6
2024-05-17,Mumbai,182732,64.1,109639,17.8,82.2
2024-05-18,Mumbai,96541,61.9,62751,18.3,80.3
2024-05-19,Mumbai,105611,68.5,63366,11.0,84.9
2024-05-20,Mumbai,179871,63.1,116916,24.3,74.2
2024-05-21,Mumbai,181148,61.6,108688,17.3,81.6
2024-05-22,Mumbai,183536,58.9,110121,15.4,78.5
2024-05-23,Mumbai,182162,57.4,118405,26.8,72.8
2024-05-24,Mumbai,181376,63.0,117894,21.9,77.0
2024-05-25,Mumbai,105085,56.5,68305,23.4,74.5
2024-05-26,Mumbai,97769,62.0,58661,12.2,85.3
2024-05-27,Mumbai,173473,61.1,104083,16.0,79.5
2024-05-28,Mumbai,182478,62.9,109486,15.8,86.2
2024-05-29,Mumbai,180327,70.7,117212,23.5,76.2
2024-05-30,Mumbai,175050,64.2,105030,16.3,81.2
2024-05-31,Mumbai,176225,62.7,105735,13.5,84.5
2024-06-01,Mumbai,96810,61.4,62926,17.2,83.7
2024-06-02,Mumbai,98994,61.2,64346,27.4,72.2
2024-06-03,Mumbai,179820,56.5,116883,52.8,52.3
2024-06-04,Mumbai,179166,70.3,107499,14.4,86.4
2024-06-05,Mumbai,181178,67.7,108706,16.0,84.1
2024-06-06,Mumbai,173320,77.5,103992,15.4,81.4
2024-06-07,Mumbai,178371,65.1,107022,14.5,78.5
2024-06-08,Mumbai,101950,65.0,61170,11.4,87.6
2024-06-09,Mumbai,106355,63.9,69130,20.2,79.7
2024-06-10,Mumbai,179603,63.3,107761,19.3,77.9
2024-06-11,Mumbai,174658,62.3,104794,15.5,81.6
2024-06-12,Mumbai,180249,64.8,117161,18.9,83.9
2024-06-13,Mumbai,174680,59.9,104808,19.0,77.0
2024-06-14,Mumbai,172406,56.0,112063,19.8,77.8
2024-06-15,Mumbai,93353,58.5,60679,17.6,82.3
2024-06-16,Mumbai,90169,64.7,54101,7.7,86.5
2024-06-17,Mumbai,183652,59.1,110191,17.4,81.6
2024-06-18,Mumbai,175895,74.8,105537,15.0,84.3
2024-06-19,Mumbai,184506,60.3,119928,24.8,74.9
2024-06-20,Mumbai,181330,69.4,108798,14.6,85.2
2024-06-21,Mumbai,180820,67.9,108492,13.6,85.2
2024-06-22,Mumbai,107475,65.8,64485,11.4,88.8
2024-06-23,Mumbai,108578,51.1,65146,9.8,86.7
2024-06-24,Mumbai,182653,54.9,118724,29.2,73.8
2024-06-25,Mumbai,181269,67.2,108761,13.6,85.8
2024-06-26,Mumbai,178216,63.2,115840,36.8,67.9
2024-06-27,Mumbai,175052,61.7,113783,20.7,81.7
2024-06-28,Mumbai,182879,66.8,109727,15.7,83.6
2024-06-29,Mumbai,104367,58.4,62620,10.6,85.5
2024-06-30,Mumbai,108187,67.1,70321,17.4,85.8
2024-07-01,Mumbai,187400,57.0,112440,15.3,85.5
2024-07-02,Mumbai,181424,60.5,108854,15.1,81.7
2024-07-03,Mumbai,180148,65.3,108088,15.1,81.6
2024-07-04,Mumbai,178930,60.2,107358,15.1,82.8
2024-07-05,Mumbai,182639,66.9,109583,14.4,80.0
2024-07-06,Mumbai,97573,67.9,58543,7.9,90.2
2024-07-07,Mumbai,97708,60.5,58624,13.8,83.7
2024-07-08,Mumbai,185096,62.7,120312,26.5,70.9
2024-07-09,Mumbai,187178,69.2,112306,16.6,84.1
2024-07-10,Mumbai,176078,66.0,105646,16.0,82.6
2024-07-11,Mumbai,183868,58.1,110320,20.5,77.9
2024-07-12,Mumbai,169499,73.3,101699,16.0,78.2
2024-07-13,Mumbai,99822,69.1,64884,15.5,83.4
2024-07-14,Mumbai,102596,69.6,61557,9.2,87.2
2024-07-15,Mumbai,172517,61.9,112136,21.7,79.3
2024-07-16,Mumbai,186487,66.4,111892,16.8,82.0
2024-07-17,Mumbai,180546,55.8,108327,14.7,82.2
2024-07-18,Mumbai,174970,60.7,104982,15.2,82.9
2024-07-19,Mumbai,184404,59.1,119862,26.5,78.1
2024-07-20,Mumbai,95168,62.3,57100,11.2,88.7
2024-07-21,Mumbai,106478,56.2,69210,16.0,84.3
2024-07-22,Mumbai,175801,65.8,105480,11.8,85.4
2024-07-23,Mumbai,178655,54.4,107193,16.2,82.1
2024-07-24,Mumbai,197245,54.9,128209,30.1,72.1
2024-07-25,Mumbai,171634,64.3,111562,23.1,77.6
2024-07-26,Mumbai,173626,57.9,104175,14.2,86.5
2024-07-27,Mumbai,94024,61.2,61115,15.2,84.1
2024-07-28,Mumbai,91118,60.1,54670,11.1,83.7
2024-07-29,Mumbai,170981,67.8,102588,15.0,81.5
2024-07-30,Mumbai,179352,65.3,107611,16.0,87.5
2024-07-31,Mumbai,186716,68.0,112029,16.7,83.5
2024-08-01,Mumbai,172908,59.2,112390,18.5,79.5
2024-08-02,Mumbai,167819,55.1,109082,30.0,72.3
2024-08-03,Mumbai,98007,56.9,63704,14.6,81.4
2024-08-04,Mumbai,93272,61.9,60626,22.8,78.0
2024-08-05,Mumbai,184322,64.2,119809,19.0,80.7
2024-08-06,Mumbai,176467,69.8,105880,13.9,84.2
2024-08-07,Mumbai,184209,58.4,119735,23.7,74.1
2024-08-08,Mumbai,180117,67.6,108070,14.7,82.5
2024-08-09,Mumbai,182891,66.1,109734,13.6,85.1
2024-08-10,Mumbai,102548,54.6,61528,11.2,87.9
2024-08-11,Mumbai,94729,56.5,61573,20.9,81.2
2024-08-12,Mumbai,181717,58.2,118116,24.6,74.9
2024-08-13,Mumbai,183755,60.2,110253,16.3,84.8
2024-08-14,Mumbai,179461,69.3,107676,14.1,82.8
2024-08-15,Mumbai,185076,72.1,111045,14.1,87.0
2024-08-16,Mumbai,174958,56.6,113722,30.7,69.8
2024-08-17,Mumbai,97853,66.4,58711,11.0,86.0
2024-08-18,Mumbai,101741,64.1,61044,10.1,85.8
2024-08-19,Mumbai,183120,65.3,119028,24.1,75.1
2024-08-20,Mumbai,174774,71.9,104864,13.6,84.1
2024-08-21,Mumbai,176304,62.6,105782,14.1,83.7
2024-08-22,Mumbai,188145,65.3,112887,15.3,83.2
2024-08-23,Mumbai,184951,62.5,120218,30.7,69.9
2024-08-24,Mumbai,98729,58.9,59237,11.5,84.9
2024-08-25,Mumbai,104355,62.7,62613,11.3,88.3
2024-08-26,Mumbai,177739,59.9,106643,13.0,87.2
2024-08-27,Mumbai,181122,72.2,108673,13.9,79.8
2024-08-28,Mumbai,179344,63.5,107606,14.6,82.2
2024-08-29,Mumbai,183705,60.0,110223,14.7,84.0
2024-08-30,Mumbai,182538,70.7,109522,17.0,84.5
2024-08-31,Mumbai,94092,77.2,56455,12.9,85.6
2024-09-01,Mumbai,109272,62.0,71026,22.6,77.2
2024-09-02,Mumbai,167617,67.0,100570,14.8,81.5
2024-09-03,Mumbai,183588,72.0,110152,13.7,82.7
2024-09-04,Mumbai,174200,63.5,104520,18.8,80.7
2024-09-05,Mumbai,180756,61.3,108453,17.1,81.1
2024-09-06,Mumbai,180356,62.9,108213,16.8,83.9
2024-09-07,Mumbai,99573,71.7,59743,12.9,84.1
2024-09-08,Mumbai,101080,57.2,60648,10.6,85.3
2024-09-09,Mumbai,183182,53.2,109909,16.5,81.9
2024-09-10,Mumbai,175371,63.3,105222,17.9,80.8
2024-09-11,Mumbai,171753,66.9,103051,12.4,84.2
2024-09-12,Mumbai,171289,66.8,102773,14.3,81.7
2024-09-13,Mumbai,165151,67.4,99090,14.8,83.8
2024-09-14,Mumbai,91254,70.4,54752,7.4,85.8
2024-09-15,Mumbai,108568,65.1,65140,8.6,88.3
2024-09-16,Mumbai,175515,73.5,105309,15.8,82.1
2024-09-17,Mumbai,178517,62.4,107110,13.6,83.1
2024-09-18,Mumbai,180714,67.5,108428,14.8,79.5
2024-09-19,Mumbai,176179,68.2,105707,16.5,82.2
2024-09-20,Mumbai,177193,53.8,115175,28.1,72.2
2024-09-21,Mumbai,97435,60.8,63332,12.5,85.6
2024-09-22,Mumbai,101873,66.0,61123,8.4,89.5
2024-09-23,Mumbai,185141,63.3,120341,23.6,73.4
2024-09-24,Mumbai,173169,72.3,103901,17.3,80.2
2024-09-25,Mumbai,172949,67.4,103769,13.3,80.4
2024-09-26,Mumbai,180892,58.0,117579,23.8,77.7
2024-09-27,Mumbai,177932,60.5,106759,16.1,77.3
2024-09-28,Mumbai,101393,78.0,60835,9.9,86.9
2024-09-29,Mumbai,95464,60.3,62051,26.5,71.8
2024-09-30,Mumbai,177844,54.2,115598,29.8,70.5
2024-10-01,Mumbai,175340,63.2,105204,13.5,86.3
2024-10-02,Mumbai,175718,67.6,105430,13.8,87.3
2024-10-03,Mumbai,182837,65.5,109702,15.5,80.8
2024-10-04,Mumbai,187358,63.7,112414,13.0,86.5
2024-10-05,Mumbai,103938,57.8,62362,8.4,85.9
2024-10-06,Mumbai,104910,62.4,62946,9.0,85.9
2024-10-07,Mumbai,187217,59.0,112330,16.6,79.4
2024-10-08,Mumbai,186118,68.3,111670,14.5,83.0
2024-10-09,Mumbai,175755,67.5,105453,13.5,85.6
2024-10-10,Mumbai,197740,64.6,118644,18.4,79.2
2024-10-11,Mumbai,180826,59.5,108495,14.8,83.3
2024-10-12,Mumbai,100897,66.1,60538,9.2,86.5
2024-10-13,Mumbai,94168,62.3,56500,9.4,85.8
2024-10-14,Mumbai,166315,55.9,108104,36.7,59.4
2024-10-15,Mumbai,183373,58.9,110023,17.3,78.6
2024-10-16,Mumbai,182120,60.7,109272,17.3,78.0
2024-10-17,Mumbai,189367,55.0,123088,25.0,74.1
2024-10-18,Mumbai,186528,66.8,111916,13.9,82.3
2024-10-19,Mumbai,93191,62.2,55914,9.7,87.4
2024-10-20,Mumbai,101897,66.1,61138,9.1,88.1
2024-10-21,Mumbai,181229,66.2,108737,15.3,81.9
2024-10-22,Mumbai,172597,66.0,103558,15.3,84.4
2024-10-23,Mumbai,177614,67.9,115449,23.4,77.9
2024-10-24,Mumbai,173647,68.6,104188,15.4,82.6
2024-10-25,Mumbai,182462,59.7,109477,14.7,85.3
2024-10-26,Mumbai,110257,63.0,66154,10.6,88.1
2024-10-27,Mumbai,87060,67.4,52236,7.9,86.0
2024-10-28,Mumbai,186268,67.0,111760,18.2,82.0
2024-10-29,Mumbai,179413,62.2,107647,13.6,86.3
2024-10-30,Mumbai,184189,61.3,119722,19.9,78.9
2024-10-31,Mumbai,177547,65.2,106528,15.2,85.8
2024-11-01,Mumbai,174913,57.8,113693,28.2,71.0
2024-11-02,Mumbai,98989,71.1,59393,11.4,84.1
2024-11-03,Mumbai,99268,64.0,59560,10.0,90.2
2024-11-04,Mumbai,177933,63.9,106759,15.0,80.9
2024-11-05,Mumbai,185858,72.4,111514,17.5,76.8
2024-11-06,Mumbai,177999,60.2,106799,15.1,83.4
2024-11-07,Mumbai,182969,52.2,109781,14.1,83.5
2024-11-08,Mumbai,178076,57.6,106845,13.1,83.8
2024-11-09,Mumbai,100039,60.7,65025,15.3,85.6
2024-11-10,Mumbai,94071,63.9,56442,9.7,86.9
2024-11-11,Mumbai,177425,62.6,106455,13.1,86.0
2024-11-12,Mumbai,178283,61.2,106969,15.8,79.4
2024-11-13,Mumbai,182683,60.7,109609,17.3,80.4
2024-11-14,Mumbai,185726,60.0,111435,14.7,83.6
2024-11-15,Mumbai,177043,66.5,106225,13.6,84.7
2024-11-16,Mumbai,97680,57.6,63492,31.0,71.1
2024-11-17,Mumbai,107691,59.3,69999,17.3,81.3
2024-11-18,Mumbai,182780,65.4,109668,16.9,79.5
2024-11-19,Mumbai,180672,56.6,117436,23.0,75.1
2024-11-20,Mumbai,173279,57.9,103967,14.9,83.4
2024-11-21,Mumbai,176677,62.4,106006,14.5,82.9
2024-11-22,Mumbai,173186,74.7,103911,15.1,80.3
2024-11-23,Mumbai,88845,56.6,53307,9.2,90.9
2024-11-24,Mumbai,101438,64.8,60862,10.3,86.2
2024-11-25,Mumbai,186416,79.1,111849,14.1,83.5
2024-11-26,Mumbai,177821,63.3,106692,14.3,84.5
2024-11-27,Mumbai,174021,70.0,104412,15.8,84.6
2024-11-28,Mumbai,176403,78.2,105841,17.2,81.0
2024-11-29,Mumbai,177107,60.1,106264,15.0,83.6
2024-11-30,Mumbai,94448,63.7,56668,9.4,86.9
2024-12-01,Mumbai,95574,55.8,57344,9.0,91.1
2024-12-02,Mumbai,178030,64.4,115719,21.6,79.3
2024-12-03,Mumbai,164555,66.3,98733,15.1,79.5
2024-12-04,Mumbai,173415,70.7,112719,23.3,74.2
2024-12-05,Mumbai,182382,59.6,118548,27.3,77.7
2024-12-06,Mumbai,174180,63.6,104508,13.2,79.4
2024-12-07,Mumbai,99472,64.9,59683,6.8,85.7
2024-12-08,Mumbai,96565,68.0,57939,10.6,87.6
2024-12-09,Mumbai,169725,61.6,101835,15.0,84.9
2024-12-10,Mumbai,171401,70.1,102840,14.4,80.9
2024-12-11,Mumbai,178551,67.6,107130,17.3,78.5
2024-12-12,Mumbai,177963,68.5,106777,14.4,82.6
2024-12-13,Mumbai,187329,55.8,121763,23.9,73.2
2024-12-14,Mumbai,96784,64.4,58070,11.1,89.9
2024-12-15,Mumbai,102831,62.1,61698,9.5,82.6
2024-12-16,Mumbai,179096,67.8,116412,20.5,79.7
2024-12-17,Mumbai,189632,76.8,113779,16.1,84.7
2024-12-18,Mumbai,169446,68.4,101667,15.8,80.7
2024-12-19,Mumbai,185888,68.3,111532,14.0,82.5
2024-12-20,Mumbai,186294,69.7,111776,13.4,85.9
2024-12-21,Mumbai,93957,67.8,56374,7.6,89.0
2024-12-22,Mumbai,102012,64.1,61207,11.5,83.4
2024-12-23,Mumbai,179524,72.5,107714,14.5,84.3
2024-12-24,Mumbai,176965,65.6,106179,11.6,86.7
2024-12-25,Mumbai,172951,67.5,103770,12.8,83.5
2024-12-26,Mumbai,178988,66.6,107392,15.2,87.0
2024-12-27,Mumbai,175726,59.8,114221,18.6,76.9
2024-12-28,Mumbai,113794,75.8,68276,10.2,84.6
2024-12-29,Mumbai,101055,59.0,60633,6.3,89.5
2024-12-30,Mumbai,180713,59.5,117463,19.5,80.3
2024-12-31,Mumbai,177704,64.3,115507,22.5,81.4
2025-01-01,Mumbai,178822,59.8,116234,19.8,80.3
2025-01-02,Mumbai,182578,65.6,109546,16.2,79.8
2025-01-03,Mumbai,184071,72.2,110442,15.6,85.1
2025-01-04,Mumbai,93291,66.0,55974,10.7,84.7
2025-01-05,Mumbai,98361,66.7,59016,11.1,87.9
2025-01-06,Mumbai,175623,68.6,105373,11.3,86.8
2025-01-07,Mumbai,184646,63.1,110787,18.5,78.3
2025-01-08,Mumbai,178805,64.1,107283,14.3,88.0
2025-01-09,Mumbai,186402,69.8,121161,29.4,70.8
2025-01-10,Mumbai,181878,62.9,118220,25.2,74.5
2025-01-11,Mumbai,98134,67.9,58880,6.8,87.8
2025-01-12,Mumbai,98752,73.3,59251,12.3,85.9
2025-01-13,Mumbai,174475,71.0,104685,15.8,83.8
2025-01-14,Mumbai,193040,76.7,125476,24.5,74.8
2025-01-15,Mumbai,181793,65.0,118165,19.5,80.7
2025-01-16,Mumbai,176275,67.2,105765,16.7,82.2
2025-01-17,Mumbai,183063,52.2,118990,17.7,77.8
2025-01-18,Mumbai,100772,69.9,60463,9.9,88.3
2025-01-19,Mumbai,103406,57.5,67213,20.3,78.1
2025-01-20,Mumbai,168351,62.8,101010,15.2,85.1
2025-01-21,Mumbai,175528,62.4,114093,24.2,72.3
2025-01-22,Mumbai,182165,63.2,109299,16.3,85.0
2025-01-23,Mumbai,179390,65.7,107634,13.6,83.5
2025-01-24,Mumbai,184161,63.3,110496,15.7,83.6
2025-01-25,Mumbai,105988,58.0,63592,11.5,87.7
2025-01-26,Mumbai,99727,58.5,64822,10.7,86.8
2025-01-27,Mumbai,172462,65.9,103477,16.3,81.0
2025-01-28,Mumbai,185867,61.8,111520,15.8,82.8
2025-01-29,Mumbai,183379,72.7,110027,13.1,86.4
2025-01-30,Mumbai,185604,72.2,111362,14.7,80.7
2025-01-31,Mumbai,177456,61.4,115346,37.0,68.9
2025-02-01,Mumbai,104343,69.6,62605,10.3,86.6
2025-02-02,Mumbai,93266,75.3,55959,10.0,85.8
2025-02-03,Mumbai,179577,58.8,107746,15.3,82.0
2025-02-04,Mumbai,176894,62.9,106136,13.5,84.8
2025-02-05,Mumbai,180298,66.1,108178,16.2,84.9
2025-02-06,Mumbai,170510,65.4,102306,14.0,82.9
2025-02-07,Mumbai,187702,70.1,112621,15.2,79.4
2025-02-08,Mumbai,102284,74.4,61370,7.6,90.1
2025-02-09,Mumbai,92636,65.5,55581,8.4,86.1
2025-02-10,Mumbai,181432,73.8,117930,16.1,78.9
2025-02-11,Mumbai,192281,66.0,115368,16.8,82.5
2025-02-12,Mumbai,167650,65.1,100590,11.8,86.9
2025-02-13,Mumbai,179836,63.9,116893,27.1,76.0
2025-02-14,Mumbai,178507,59.0,116029,25.4,73.8
2025-02-15,Mumbai,96247,68.0,57748,10.4,85.1
2025-02-16,Mumbai,102477,63.3,61486,10.5,84.2
2025-02-17,Mumbai,183375,51.9,110025,14.0,86.3
2025-02-18,Mumbai,171981,66.4,103188,12.9,83.8
2025-02-19,Mumbai,187688,57.3,121997,24.9,75.1
2025-02-20,Mumbai,182956,57.6,118921,22.5,80.6
2025-02-21,Mumbai,171355,64.0,102813,15.5,81.4
2025-02-22,Mumbai,104274,67.0,62564,10.6,87.1
2025-02-23,Mumbai,97570,63.4,63420,30.3,72.5
2025-02-24,Mumbai,173321,74.1,103992,16.7,80.5
2025-02-25,Mumbai,170592,57.6,102355,15.3,83.3
2025-02-26,Mumbai,183507,60.8,110104,13.6,85.3
2025-02-27,Mumbai,177565,61.3,106539,14.7,85.0
2025-02-28,Mumbai,182366,69.9,109419,15.5,84.3
2025-03-01,Mumbai,97490,64.6,58494,7.4,90.2
2025-03-02,Mumbai,102193,61.7,61315,9.0,87.4
2025-03-03,Mumbai,174328,68.2,104596,17.1,79.5
2025-03-04,Mumbai,187234,63.6,121702,20.8,75.5
2025-03-05,Mumbai,171773,67.9,103063,16.3,81.5
2025-03-06,Mumbai,181158,70.9,108694,14.7,82.6
2025-03-07,Mumbai,178374,53.6,115943,22.6,77.6
2025-03-08,Mumbai,99987,66.3,59992,10.0,86.3
2025-03-09,Mumbai,99524,71.0,59714,11.1,83.5
2025-03-10,Mumbai,182998,66.4,109798,18.0,82.4
2025-03-11,Mumbai,185816,69.5,111489,13.8,82.2
2025-03-12,Mumbai,173380,66.0,104028,15.6,84.1
2025-03-13,Mumbai,179525,67.9,107715,13.9,84.3
2025-03-14,Mumbai,186050,70.3,111630,17.8,82.3
2025-03-15,Mumbai,102971,61.5,61782,10.0,88.1
2025-03-16,Mumbai,90699,64.6,54419,8.8,88.5
2025-03-17,Mumbai,175698,62.3,105418,15.4,85.7
2025-03-18,Mumbai,181490,54.2,108894,15.4,79.8
2025-03-19,Mumbai,176027,61.8,114417,57.6,50.0
2025-03-20,Mumbai,180793,64.9,108475,16.4,82.3
2025-03-21,Mumbai,192470,62.2,115482,11.4,86.2
2025-03-22,Mumbai,102632,62.7,61579,11.4,88.2
2025-03-23,Mumbai,89487,70.3,53692,6.8,89.6
