Date,City,Electricity_Consumption,Renewable_Energy_Percent,Peak_Usage,Residential_Consumption,Commercial_Consumption,Industrial_Consumption
2024-01-28,Mumbai,5186.8,16.6,305.0,1815.4,1815.4,1556.0
2024-01-29,Mumbai,5522.0,26.9,310.7,1932.7,1932.7,1656.6
2024-01-30,Mumbai,5532.1,29.9,353.1,1936.3,1936.3,1659.6
2024-01-31,Mumbai,5393.7,29.1,330.8,1887.8,1887.8,1618.1
2024-02-01,Mumbai,5276.4,32.2,309.1,1846.7,1846.7,1582.9
2024-02-02,Mumbai,5199.3,21.6,287.2,1819.8,1819.8,1559.8
2024-02-03,Mumbai,5687.0,27.5,351.7,1990.4,1990.4,1706.1
2024-02-04,Mumbai,5089.8,23.8,286.5,1781.4,1781.4,1526.9
2024-02-05,Mumbai,5240.2,26.8,320.2,1834.1,1834.1,1572.1
2024-02-06,Mumbai,5495.5,27.0,338.6,1923.4,1923.4,1648.6
2024-02-07,Mumbai,4927.8,32.0,283.0,1724.7,1724.7,1478.3
2024-02-08,Mumbai,5242.8,20.2,303.3,1835.0,1835.0,1572.8
2024-02-09,Mumbai,5300.0,26.6,322.8,1855.0,1855.0,1590.0
2024-02-10,Mumbai,5378.2,32.6,341.2,1882.4,1882.4,1613.5
2024-02-11,Mumbai,5658.7,28.2,332.4,1980.6,1980.6,1697.6
2024-02-12,Mumbai,5251.4,29.7,294.6,1838.0,1838.0,1575.4
2024-02-13,Mumbai,5298.6,22.5,294.7,1854.5,1854.5,1589.6
2024-02-14,Mumbai,6141.3,23.8,388.3,2149.5,2149.5,1842.4
2024-02-15,Mumbai,6104.1,26.5,384.5,2136.4,2136.4,1831.2
2024-02-16,Mumbai,6051.1,24.2,332.4,2117.9,2117.9,1815.3
2024-02-17,Mumbai,5605.5,23.3,334.6,1961.9,1961.9,1681.7
2024-02-18,Mumbai,5278.1,29.1,329.0,1847.3,1847.3,1583.4
2024-02-19,Mumbai,5564.4,25.8,346.3,1947.5,1947.5,1669.3
2024-02-20,Mumbai,5177.3,28.9,318.5,1812.1,1812.1,1553.2
2024-02-21,Mumbai,5540.3,25.5,321.8,1939.1,1939.1,1662.1
2024-02-22,Mumbai,5433.4,27.8,349.1,1901.7,1901.7,1630.0
2024-02-23,Mumbai,5743.8,25.7,341.8,2010.3,2010.3,1723.1
2024-02-24,Mumbai,5090.5,24.0,301.6,1781.7,1781.7,1527.1
2024-02-25,Mumbai,5308.2,24.7,299.5,1857.9,1857.9,1592.5
2024-02-26,Mumbai,4921.5,27.3,300.5,1722.5,1722.5,1476.5
2024-02-27,Mumbai,5428.3,24.0,320.7,1899.9,1899.9,1628.5
2024-02-28,Mumbai,5150.5,15.1,280.7,1802.7,1802.7,1545.1
2024-02-29,Mumbai,5354.8,26.1,321.9,1874.2,1874.2,1606.4
2024-03-01,Mumbai,5215.4,21.6,318.1,1825.4,1825.4,1564.6
2024-03-02,Mumbai,5371.7,23.9,325.7,1880.1,1880.1,1611.5
2024-03-03,Mumbai,5543.5,29.9,329.5,1940.2,1940.2,1663.1
2024-03-04,Mumbai,6370.9,28.6,367.5,2229.8,2229.8,1911.3
2024-03-05,Mumbai,5301.5,26.7,341.2,1855.5,1855.5,1590.4
2024-03-06,Mumbai,5836.2,27.6,339.7,2042.7,2042.7,1750.8
2024-03-07,Mumbai,5851.6,24.3,361.9,2048.1,2048.1,1755.5
2024-03-08,Mumbai,5398.1,29.9,300.6,1889.4,1889.4,1619.4
2024-03-09,Mumbai,5381.1,20.6,308.9,1883.4,1883.4,1614.3
2024-03-10,Mumbai,5853.2,31.1,319.6,2048.6,2048.6,1756.0
2024-03-11,Mumbai,5865.0,31.4,365.1,2052.7,2052.7,1759.5
2024-03-12,Mumbai,5589.0,29.9,346.0,1956.1,1956.1,1676.7
2024-03-13,Mumbai,6177.8,27.5,342.5,2162.2,2162.2,1853.3
2024-03-14,Mumbai,5105.6,21.3,328.7,1787.0,1787.0,1531.7
2024-03-15,Mumbai,5347.0,27.6,291.4,1871.4,1871.4,1604.1
2024-03-16,Mumbai,5218.4,25.4,321.8,1826.5,1826.5,1565.5
2024-03-17,Mumbai,6403.1,21.4,352.5,2241.1,2241.1,1920.9
2024-03-18,Mumbai,5437.9,22.4,342.3,1903.3,1903.3,1631.4
2024-03-19,Mumbai,5493.4,24.6,346.3,1922.7,1922.7,1648.0
2024-03-20,Mumbai,5188.0,26.9,307.6,1815.8,1815.8,1556.4
2024-03-21,Mumbai,5795.6,25.6,318.6,2028.5,2028.5,1738.7
2024-03-22,Mumbai,5314.9,25.8,340.5,1860.2,1860.2,1594.5
2024-03-23,Mumbai,5153.6,29.3,324.0,1803.7,1803.7,1546.1
2024-03-24,Mumbai,6591.6,22.4,359.5,2307.1,2307.1,1977.5
2024-03-25,Mumbai,4889.1,23.4,303.2,1711.2,1711.2,1466.7
2024-03-26,Mumbai,5715.7,19.8,354.1,2000.5,2000.5,1714.7
2024-03-27,Mumbai,5408.2,18.0,318.1,1892.9,1892.9,1622.4
2024-03-28,Mumbai,5724.0,21.9,358.6,2003.4,2003.4,1717.2
2024-03-29,Mumbai,5581.0,25.4,359.4,1953.4,1953.4,1674.3
2024-03-30,Mumbai,4998.3,31.0,298.5,1749.4,1749.4,1499.5
2024-03-31,Mumbai,6256.2,19.9,376.0,2189.7,2189.7,1876.9
2024-04-01,Mumbai,5395.1,22.2,317.5,1888.3,1888.3,1618.5
2024-04-02,Mumbai,5802.0,24.5,360.9,2030.7,2030.7,1740.6
2024-04-03,Mumbai,5767.7,23.4,355.7,2018.7,2018.7,1730.3
2024-04-04,Mumbai,5432.7,20.9,320.9,1901.5,1901.5,1629.8
2024-04-05,Mumbai,5545.3,23.5,314.6,1940.9,1940.9,1663.6
2024-04-06,Mumbai,5423.1,17.2,346.2,1898.1,1898.1,1626.9
2024-04-07,Mumbai,5963.6,29.5,361.8,2087.2,2087.2,1789.1
2024-04-08,Mumbai,5922.5,18.5,350.1,2072.9,2072.9,1776.7
2024-04-09,Mumbai,6248.5,18.7,360.3,2187.0,2187.0,1874.5
2024-04-10,Mumbai,6731.1,24.8,367.7,2355.9,2355.9,2019.3
2024-04-11,Mumbai,6411.6,22.7,347.3,2244.1,2244.1,1923.5
2024-04-12,Mumbai,6093.8,22.8,361.1,2132.8,2132.8,1828.1
2024-04-13,Mumbai,6227.9,28.7,383.8,2179.8,2179.8,1868.4
2024-04-14,Mumbai,5204.9,23.5,300.6,1821.7,1821.7,1561.5
2024-04-15,Mumbai,6345.4,30.0,390.7,2220.9,2220.9,1903.6
2024-04-16,Mumbai,6580.0,25.0,401.7,2303.0,2303.0,1974.0
2024-04-17,Mumbai,6775.2,14.4,420.1,2371.3,2371.3,2032.6
2024-04-18,Mumbai,5956.1,26.4,328.3,2084.6,2084.6,1786.8
2024-04-19,Mumbai,6074.9,26.1,362.7,2126.2,2126.2,1822.5
2024-04-20,Mumbai,5648.5,15.9,313.1,1977.0,1977.0,1694.5
2024-04-21,Mumbai,5849.7,18.4,376.0,2047.4,2047.4,1754.9
2024-04-22,Mumbai,5212.8,17.8,305.0,1824.5,1824.5,1563.8
2024-04-23,Mumbai,5286.3,23.2,296.5,1850.2,1850.2,1585.9
2024-04-24,Mumbai,5832.5,22.2,332.2,2041.4,2041.4,1749.8
2024-04-25,Mumbai,5617.6,28.0,357.3,1966.2,1966.2,1685.3
2024-04-26,Mumbai,6469.6,21.5,373.2,2264.4,2264.4,1940.9
2024-04-27,Mumbai,6046.4,25.4,368.7,2116.2,2116.2,1813.9
2024-04-28,Mumbai,6796.3,25.2,428.5,2378.7,2378.7,2038.9
2024-04-29,Mumbai,6091.9,24.7,386.1,2132.2,2132.2,1827.6
2024-04-30,Mumbai,6969.5,23.7,396.2,2439.3,2439.3,2090.8
2024-05-01,Mumbai,5970.8,28.7,342.0,2089.8,2089.8,1791.2
2024-05-02,Mumbai,6792.7,17.0,411.8,2377.4,2377.4,2037.8
2024-05-03,Mumbai,6047.3,18.8,349.2,2116.6,2116.6,1814.2
2024-05-04,Mumbai,5654.8,31.3,310.3,1979.2,1979.2,1696.4
2024-05-05,Mumbai,5785.0,24.2,344.1,2024.8,2024.8,1735.5
2024-05-06,Mumbai,7427.5,27.2,458.5,2599.6,2599.6,2228.3
2024-05-07,Mumbai,7115.2,20.0,453.1,2490.3,2490.3,2134.6
2024-05-08,Mumbai,5962.6,23.2,324.8,2086.9,2086.9,1788.8
2024-05-09,Mumbai,6285.4,26.4,375.3,2199.9,2199.9,1885.6
2024-05-10,Mumbai,6120.1,23.3,391.2,2142.1,2142.1,1836.0
2024-05-11,Mumbai,5751.0,24.5,352.7,2012.8,2012.8,1725.3
2024-05-12,Mumbai,5917.1,27.6,345.4,2071.0,2071.0,1775.1
2024-05-13,Mumbai,6022.8,20.7,328.1,2108.0,2108.0,1806.8
2024-05-14,Mumbai,6855.0,24.9,426.8,2399.3,2399.3,2056.5
2024-05-15,Mumbai,6715.8,26.5,373.8,2350.5,2350.5,2014.7
2024-05-16,Mumbai,6922.0,21.6,430.0,2422.7,2422.7,2076.6
2024-05-17,Mumbai,5963.9,16.5,380.9,2087.4,2087.4,1789.2
2024-05-18,Mumbai,6305.3,22.8,389.2,2206.9,2206.9,1891.6
2024-05-19,Mumbai,6586.3,27.3,369.9,2305.2,2305.2,1975.9
2024-05-20,Mumbai,5743.8,19.9,314.1,2010.3,2010.3,1723.1
2024-05-21,Mumbai,5558.5,26.0,332.2,1945.5,1945.5,1667.5
2024-05-22,Mumbai,6555.5,23.7,414.8,2294.4,2294.4,1966.7
2024-05-23,Mumbai,6952.5,19.8,377.8,2433.4,2433.4,2085.7
2024-05-24,Mumbai,5648.6,21.0,321.2,1977.0,1977.0,1694.6
2024-05-25,Mumbai,5658.1,18.9,350.3,1980.3,1980.3,1697.4
2024-05-26,Mumbai,7269.2,27.9,450.2,2544.2,2544.2,2180.8
2024-05-27,Mumbai,6829.2,28.8,404.3,2390.2,2390.2,2048.8
2024-05-28,Mumbai,6990.3,24.5,442.1,2446.6,2446.6,2097.1
2024-05-29,Mumbai,6241.7,26.5,394.2,2184.6,2184.6,1872.5
2024-05-30,Mumbai,5482.9,34.7,308.5,1919.0,1919.0,1644.9
2024-05-31,Mumbai,6299.0,24.1,366.6,2204.7,2204.7,1889.7
2024-06-01,Mumbai,6055.7,20.2,362.7,2119.5,2119.5,1816.7
2024-06-02,Mumbai,5424.3,17.0,341.7,1898.5,1898.5,1627.3
2024-06-03,Mumbai,5996.8,16.5,351.6,2098.9,2098.9,1799.0
2024-06-04,Mumbai,6220.0,28.5,357.6,2177.0,2177.0,1866.0
2024-06-05,Mumbai,6133.6,21.5,338.4,2146.7,2146.7,1840.1
2024-06-06,Mumbai,6763.9,19.7,378.0,2367.3,2367.3,2029.2
2024-06-07,Mumbai,7112.1,25.6,446.0,2489.2,2489.2,2133.6
2024-06-08,Mumbai,6767.7,28.3,419.7,2368.7,2368.7,2030.3
2024-06-09,Mumbai,5954.8,13.5,355.2,2084.2,2084.2,1786.4
2024-06-10,Mumbai,6577.2,21.8,383.7,2302.0,2302.0,1973.2
2024-06-11,Mumbai,6318.3,24.1,386.4,2211.4,2211.4,1895.5
2024-06-12,Mumbai,6652.7,16.6,409.6,2328.4,2328.4,1995.8
2024-06-13,Mumbai,6741.4,25.5,421.9,2359.5,2359.5,2022.4
2024-06-14,Mumbai,6443.7,19.0,394.3,2255.3,2255.3,1933.1
2024-06-15,Mumbai,6249.5,22.2,368.4,2187.3,2187.3,1874.9
2024-06-16,Mumbai,6994.0,18.9,441.4,2447.9,2447.9,2098.2
2024-06-17,Mumbai,7656.3,27.4,433.1,2679.7,2679.7,2296.9
2024-06-18,Mumbai,6460.9,27.0,386.8,2261.3,2261.3,1938.3
2024-06-19,Mumbai,6537.0,18.3,409.7,2287.9,2287.9,1961.1
2024-06-20,Mumbai,6925.5,25.2,444.0,2423.9,2423.9,2077.7
2024-06-21,Mumbai,6477.0,22.1,371.6,2267.0,2267.0,1943.1
2024-06-22,Mumbai,5867.9,21.8,375.3,2053.8,2053.8,1760.4
2024-06-23,Mumbai,6533.8,23.8,387.2,2286.8,2286.8,1960.1
2024-06-24,Mumbai,6985.6,17.8,415.4,2445.0,2445.0,2095.7
2024-06-25,Mumbai,6409.1,23.7,361.8,2243.2,2243.2,1922.7
2024-06-26,Mumbai,5948.9,19.2,337.2,2082.1,2082.1,1784.7
2024-06-27,Mumbai,6471.2,16.5,373.2,2264.9,2264.9,1941.4
2024-06-28,Mumbai,7177.4,26.9,428.8,2512.1,2512.1,2153.2
2024-06-29,Mumbai,6659.9,21.3,390.6,2331.0,2331.0,1998.0
2024-06-30,Mumbai,6490.4,28.0,367.3,2271.6,2271.6,1947.1
2024-07-01,Mumbai,7610.3,18.9,466.4,2663.6,2663.6,2283.1
2024-07-02,Mumbai,6345.7,17.3,398.2,2221.0,2221.0,1903.7
2024-07-03,Mumbai,6835.1,22.5,395.3,2392.3,2392.3,2050.5
2024-07-04,Mumbai,6479.3,26.1,414.4,2267.8,2267.8,1943.8
2024-07-05,Mumbai,6165.3,27.7,371.3,2157.9,2157.9,1849.6
2024-07-06,Mumbai,6038.7,22.6,360.1,2113.6,2113.6,1811.6
2024-07-07,Mumbai,6944.8,21.2,410.2,2430.7,2430.7,2083.4
2024-07-08,Mumbai,7126.8,16.7,446.8,2494.4,2494.4,2138.0
2024-07-09,Mumbai,6354.0,11.3,399.4,2223.9,2223.9,1906.2
2024-07-10,Mumbai,5998.7,25.6,349.9,2099.5,2099.5,1799.6
2024-07-11,Mumbai,4985.2,15.1,293.8,1744.8,1744.8,1495.6
2024-07-12,Mumbai,7611.2,26.4,442.6,2663.9,2663.9,2283.3
2024-07-13,Mumbai,6484.1,17.6,378.1,2269.4,2269.4,1945.2
2024-07-14,Mumbai,6346.8,26.2,372.1,2221.4,2221.4,1904.0
2024-07-15,Mumbai,6076.7,16.6,367.3,2126.8,2126.8,1823.0
2024-07-16,Mumbai,6668.2,24.8,402.9,2333.9,2333.9,2000.5
2024-07-17,Mumbai,6697.4,22.3,397.5,2344.1,2344.1,2009.2
2024-07-18,Mumbai,6375.0,29.1,347.5,2231.2,2231.2,1912.5
2024-07-19,Mumbai,6827.9,25.7,427.9,2389.8,2389.8,2048.4
2024-07-20,Mumbai,6226.2,27.1,395.1,2179.2,2179.2,1867.9
2024-07-21,Mumbai,6312.0,23.4,387.8,2209.2,2209.2,1893.6
2024-07-22,Mumbai,5868.5,22.4,378.4,2054.0,2054.0,1760.6
2024-07-23,Mumbai,5735.4,23.0,317.1,2007.4,2007.4,1720.6
2024-07-24,Mumbai,6477.1,17.3,386.0,2267.0,2267.0,1943.1
2024-07-25,Mumbai,6577.1,18.3,373.8,2302.0,2302.0,1973.1
2024-07-26,Mumbai,6982.5,24.0,403.3,2443.9,2443.9,2094.8
2024-07-27,Mumbai,6221.4,18.6,400.9,2177.5,2177.5,1866.4
2024-07-28,Mumbai,6496.2,25.3,362.3,2273.7,2273.7,1948.9
2024-07-29,Mumbai,6118.4,26.7,360.7,2141.4,2141.4,1835.5
2024-07-30,Mumbai,7008.4,22.0,435.7,2452.9,2452.9,2102.5
2024-07-31,Mumbai,6958.7,16.2,385.5,2435.5,2435.5,2087.6
2024-08-01,Mumbai,6526.0,28.9,403.0,2284.1,2284.1,1957.8
2024-08-02,Mumbai,6446.5,22.4,392.9,2256.3,2256.3,1933.9
2024-08-03,Mumbai,7237.8,17.6,408.8,2533.2,2533.2,2171.3
2024-08-04,Mumbai,6967.0,19.0,415.2,2438.4,2438.4,2090.1
2024-08-05,Mumbai,6773.0,22.0,434.8,2370.5,2370.5,2031.9
2024-08-06,Mumbai,6479.9,25.7,378.6,2268.0,2268.0,1944.0
2024-08-07,Mumbai,6816.9,18.0,428.4,2385.9,2385.9,2045.1
2024-08-08,Mumbai,5787.3,25.2,333.4,2025.6,2025.6,1736.2
2024-08-09,Mumbai,6029.9,22.3,333.3,2110.5,2110.5,1809.0
2024-08-10,Mumbai,6822.7,24.7,384.5,2387.9,2387.9,2046.8
2024-08-11,Mumbai,6183.9,24.1,369.9,2164.4,2164.4,1855.2
2024-08-12,Mumbai,6311.1,16.8,364.7,2208.9,2208.9,1893.3
2024-08-13,Mumbai,6524.1,25.4,394.8,2283.4,2283.4,1957.2
2024-08-14,Mumbai,6253.3,21.6,390.4,2188.7,2188.7,1876.0
2024-08-15,Mumbai,5023.7,24.5,319.9,1758.3,1758.3,1507.1
2024-08-16,Mumbai,6617.1,23.2,391.3,2316.0,2316.0,1985.1
2024-08-17,Mumbai,6306.5,26.2,394.6,2207.3,2207.3,1892.0
2024-08-18,Mumbai,6431.0,25.0,385.9,2250.8,2250.8,1929.3
2024-08-19,Mumbai,6112.0,17.8,387.0,2139.2,2139.2,1833.6
2024-08-20,Mumbai,6898.8,22.1,439.1,2414.6,2414.6,2069.6
2024-08-21,Mumbai,5971.3,27.1,327.1,2090.0,2090.0,1791.4
2024-08-22,Mumbai,6336.3,21.6,403.0,2217.7,2217.7,1900.9
2024-08-23,Mumbai,6417.1,16.8,369.4,2246.0,2246.0,1925.1
2024-08-24,Mumbai,6580.3,19.8,409.8,2303.1,2303.1,1974.1
2024-08-25,Mumbai,6860.0,22.8,395.0,2401.0,2401.0,2058.0
2024-08-26,Mumbai,6692.7,22.9,369.7,2342.4,2342.4,2007.8
2024-08-27,Mumbai,6602.6,17.2,397.3,2310.9,2310.9,1980.8
2024-08-28,Mumbai,6880.4,24.6,398.6,2408.1,2408.1,2064.1
2024-08-29,Mumbai,6388.6,25.4,404.3,2236.0,2236.0,1916.6
2024-08-30,Mumbai,5995.1,18.5,365.2,2098.3,2098.3,1798.5
2024-08-31,Mumbai,6578.6,24.1,411.1,2302.5,2302.5,1973.6
2024-09-01,Mumbai,6550.7,16.4,362.3,2292.7,2292.7,1965.2
2024-09-02,Mumbai,5702.5,28.2,362.4,1995.9,1995.9,1710.7
2024-09-03,Mumbai,5542.8,18.6,342.9,1940.0,1940.0,1662.8
2024-09-04,Mumbai,5907.8,24.4,347.1,2067.7,2067.7,1772.3
2024-09-05,Mumbai,7193.1,28.1,400.1,2517.6,2517.6,2157.9
2024-09-06,Mumbai,6953.8,15.0,399.3,2433.8,2433.8,2086.1
2024-09-07,Mumbai,5064.3,13.6,316.9,1772.5,1772.5,1519.3
2024-09-08,Mumbai,5275.6,28.0,328.3,1846.5,1846.5,1582.7
2024-09-09,Mumbai,6170.4,24.0,398.4,2159.6,2159.6,1851.1
2024-09-10,Mumbai,6141.1,20.7,379.6,2149.4,2149.4,1842.3
2024-09-11,Mumbai,6708.4,28.6,367.8,2347.9,2347.9,2012.5
2024-09-12,Mumbai,5071.4,22.1,283.4,1775.0,1775.0,1521.4
2024-09-13,Mumbai,5438.6,25.3,295.0,1903.5,1903.5,1631.6
2024-09-14,Mumbai,6366.3,21.5,388.3,2228.2,2228.2,1909.9
2024-09-15,Mumbai,5900.4,26.1,345.4,2065.1,2065.1,1770.1
2024-09-16,Mumbai,5884.7,22.0,330.4,2059.7,2059.7,1765.4
2024-09-17,Mumbai,6154.4,23.2,380.0,2154.0,2154.0,1846.3
2024-09-18,Mumbai,5443.6,17.8,323.0,1905.3,1905.3,1633.1
2024-09-19,Mumbai,6332.1,23.5,382.5,2216.2,2216.2,1899.6
2024-09-20,Mumbai,5779.9,23.8,352.2,2023.0,2023.0,1734.0
2024-09-21,Mumbai,6181.9,20.8,335.3,2163.7,2163.7,1854.6
2024-09-22,Mumbai,7241.3,27.2,445.4,2534.5,2534.5,2172.4
2024-09-23,Mumbai,5885.7,21.5,377.3,2060.0,2060.0,1765.7
2024-09-24,Mumbai,5452.1,19.4,346.3,1908.2,1908.2,1635.6
2024-09-25,Mumbai,6012.5,28.5,373.4,2104.4,2104.4,1803.8
2024-09-26,Mumbai,7540.7,19.8,431.4,2639.2,2639.2,2262.2
2024-09-27,Mumbai,6319.7,26.0,384.1,2211.9,2211.9,1895.9
2024-09-28,Mumbai,5757.0,23.3,331.6,2015.0,2015.0,1727.1
2024-09-29,Mumbai,5660.3,20.7,337.3,1981.1,1981.1,1698.1
2024-09-30,Mumbai,5522.6,21.7,341.0,1932.9,1932.9,1656.8
2024-10-01,Mumbai,5529.8,20.8,326.3,1935.4,1935.4,1658.9
2024-10-02,Mumbai,5993.3,22.6,385.3,2097.7,2097.7,1798.0
2024-10-03,Mumbai,5890.6,22.1,376.4,2061.7,2061.7,1767.2
2024-10-04,Mumbai,5192.9,21.1,291.9,1817.5,1817.5,1557.9
2024-10-05,Mumbai,5289.9,18.9,320.4,1851.5,1851.5,1587.0
2024-10-06,Mumbai,5275.4,21.9,306.0,1846.4,1846.4,1582.6
2024-10-07,Mumbai,5858.2,26.7,374.6,2050.4,2050.4,1757.5
2024-10-08,Mumbai,5178.3,22.3,317.5,1812.4,1812.4,1553.5
2024-10-09,Mumbai,6253.3,30.2,374.0,2188.7,2188.7,1876.0
2024-10-10,Mumbai,5663.8,30.7,365.4,1982.3,1982.3,1699.1
2024-10-11,Mumbai,5830.2,24.3,331.6,2040.6,2040.6,1749.0
2024-10-12,Mumbai,5625.6,22.2,339.3,1968.9,1968.9,1687.7
2024-10-13,Mumbai,5597.1,26.3,324.6,1959.0,1959.0,1679.1
2024-10-14,Mumbai,6089.6,19.5,376.0,2131.4,2131.4,1826.9
2024-10-15,Mumbai,5862.3,21.6,370.0,2051.8,2051.8,1758.7
2024-10-16,Mumbai,5181.3,24.8,303.5,1813.4,1813.4,1554.4
2024-10-17,Mumbai,5606.4,18.1,358.3,1962.2,1962.2,1681.9
2024-10-18,Mumbai,6137.9,30.0,382.7,2148.3,2148.3,1841.4
2024-10-19,Mumbai,6243.6,25.4,339.7,2185.3,2185.3,1873.1
2024-10-20,Mumbai,6165.4,23.9,352.5,2157.9,2157.9,1849.6
2024-10-21,Mumbai,5471.6,25.2,329.2,1915.1,1915.1,1641.5
2024-10-22,Mumbai,6580.8,23.0,369.1,2303.3,2303.3,1974.3
2024-10-23,Mumbai,5368.3,25.1,291.3,1878.9,1878.9,1610.5
2024-10-24,Mumbai,5403.9,24.0,304.6,1891.4,1891.4,1621.2
2024-10-25,Mumbai,5687.9,27.4,326.3,1990.8,1990.8,1706.4
2024-10-26,Mumbai,5376.9,29.5,297.0,1881.9,1881.9,1613.1
2024-10-27,Mumbai,5148.2,22.1,323.7,1801.9,1801.9,1544.5
2024-10-28,Mumbai,6078.6,23.8,353.5,2127.5,2127.5,1823.6
2024-10-29,Mumbai,5193.5,24.8,284.9,1817.7,1817.7,1558.0
2024-10-30,Mumbai,5395.5,24.3,319.0,1888.4,1888.4,1618.6
2024-10-31,Mumbai,5555.2,26.3,321.0,1944.3,1944.3,1666.5
2024-11-01,Mumbai,5650.7,16.2,314.9,1977.8,1977.8,1695.2
2024-11-02,Mumbai,6764.6,23.3,429.2,2367.6,2367.6,2029.4
2024-11-03,Mumbai,5991.7,29.5,371.3,2097.1,2097.1,1797.5
2024-11-04,Mumbai,5773.2,24.3,324.9,2020.6,2020.6,1732.0
2024-11-05,Mumbai,5470.1,26.6,302.6,1914.5,1914.5,1641.0
2024-11-06,Mumbai,5268.6,18.9,296.3,1844.0,1844.0,1580.6
2024-11-07,Mumbai,5368.0,21.2,346.2,1878.8,1878.8,1610.4
2024-11-08,Mumbai,5576.1,30.8,302.0,1951.6,1951.6,1672.8
2024-11-09,Mumbai,5137.1,19.4,319.0,1798.0,1798.0,1541.1
2024-11-10,Mumbai,5455.7,27.2,336.4,1909.5,1909.5,1636.7
2024-11-11,Mumbai,5423.4,24.2,334.7,1898.2,1898.2,1627.0
2024-11-12,Mumbai,5351.2,31.3,336.9,1872.9,1872.9,1605.4
2024-11-13,Mumbai,5248.7,23.1,293.0,1837.0,1837.0,1574.6
2024-11-14,Mumbai,5244.1,25.5,331.7,1835.4,1835.4,1573.2
2024-11-15,Mumbai,5925.2,29.3,325.5,2073.8,2073.8,1777.6
2024-11-16,Mumbai,6620.4,22.3,410.4,2317.1,2317.1,1986.1
2024-11-17,Mumbai,5509.6,22.1,351.3,1928.4,1928.4,1652.9
2024-11-18,Mumbai,5560.5,20.8,302.9,1946.2,1946.2,1668.1
2024-11-19,Mumbai,5412.3,17.3,304.3,1894.3,1894.3,1623.7
2024-11-20,Mumbai,5825.6,27.4,362.0,2039.0,2039.0,1747.7
2024-11-21,Mumbai,5256.2,24.9,339.1,1839.7,1839.7,1576.8
2024-11-22,Mumbai,6128.7,24.5,355.0,2145.1,2145.1,1838.6
2024-11-23,Mumbai,6098.3,21.0,349.0,2134.4,2134.4,1829.5
2024-11-24,Mumbai,5265.2,27.2,298.6,1842.8,1842.8,1579.6
2024-11-25,Mumbai,5211.9,28.3,311.7,1824.2,1824.2,1563.6
2024-11-26,Mumbai,5482.5,21.6,342.6,1918.9,1918.9,1644.7
2024-11-27,Mumbai,5191.7,23.5,288.6,1817.1,1817.1,1557.5
2024-11-28,Mumbai,5076.8,27.9,293.5,1776.9,1776.9,1523.0
2024-11-29,Mumbai,5451.0,26.1,306.9,1907.9,1907.9,1635.3
2024-11-30,Mumbai,5633.0,27.1,349.7,1971.5,1971.5,1689.9
2024-12-01,Mumbai,5205.6,25.9,323.1,1822.0,1822.0,1561.7
2024-12-02,Mumbai,6034.5,29.3,376.2,2112.1,2112.1,1810.4
2024-12-03,Mumbai,5374.3,28.3,297.6,1881.0,1881.0,1612.3
